sample_id,attachment2_split,video_id,clip_id
-HwX2H8Z4hY$_$9,train,-HwX2H8Z4hY,9
-THoVjtIkeU$_$2,train,-THoVjtIkeU,2
-a55Q6RWvTA$_$3,train,-a55Q6RWvTA,3
-aqamKhZ1Ec$_$0,train,-aqamKhZ1Ec,0
-dxfTGcXJoc$_$0,train,-dxfTGcXJoc,0
-dxfTGcXJoc$_$6,train,-dxfTGcXJoc,6
-lzEya4AM_4$_$6,train,-lzEya4AM_4,6
-mJ2ud6oKI8$_$9,train,-mJ2ud6oKI8,9
-tPCytz4rww$_$16,train,-tPCytz4rww,16
-wny0OAz3g8$_$0,train,-wny0OAz3g8,0
-wny0OAz3g8$_$5,train,-wny0OAz3g8,5
-AUZQgSxyPQ$_$2,test,-AUZQgSxyPQ,2
-HeZS2-Prhc$_$2,test,-HeZS2-Prhc,2
-MeTTeMJBNc$_$0,test,-MeTTeMJBNc,0
-RfYyzHpjk4$_$2,test,-RfYyzHpjk4,2
-s9qJ7ATP7w$_$5,test,-s9qJ7ATP7w,5
-s9qJ7ATP7w$_$6,test,-s9qJ7ATP7w,6
-yRb-Jum7EQ$_$1,test,-yRb-Jum7EQ,1
