sample_id,setting,detection_threshold,presence_threshold,tracking_threshold,fps,sampled_frames,center_crop_ratio,detected_frames,detected_rate
-571d8cVauQ$_$0,center_crop_0.7,0.5,0.5,0.5,10.0,52,0.7,50,0.9615
-571d8cVauQ$_$0,center_crop_0.5,0.5,0.5,0.5,10.0,52,0.5,50,0.9615
-571d8cVauQ$_$5,center_crop_0.7,0.5,0.5,0.5,10.0,153,0.7,153,1.0
-571d8cVauQ$_$5,center_crop_0.5,0.5,0.5,0.5,10.0,153,0.5,153,1.0
-HeZS2-Prhc$_$2,center_crop_0.7,0.5,0.5,0.5,10.0,83,0.7,83,1.0
-HeZS2-Prhc$_$2,center_crop_0.5,0.5,0.5,0.5,10.0,83,0.5,83,1.0
-hnBHBN8p5A$_$7,center_crop_0.7,0.5,0.5,0.5,10.0,59,0.7,33,0.5593
-hnBHBN8p5A$_$7,center_crop_0.5,0.5,0.5,0.5,10.0,59,0.5,39,0.661
-HwX2H8Z4hY$_$9,center_crop_0.7,0.5,0.5,0.5,10.0,78,0.7,0,0.0
-HwX2H8Z4hY$_$9,center_crop_0.5,0.5,0.5,0.5,10.0,78,0.5,15,0.1923
-iRBcNs9oI8$_$3,center_crop_0.7,0.5,0.5,0.5,10.0,56,0.7,56,1.0
-iRBcNs9oI8$_$3,center_crop_0.5,0.5,0.5,0.5,10.0,56,0.5,56,1.0
-iRBcNs9oI8$_$6,center_crop_0.7,0.5,0.5,0.5,10.0,29,0.7,29,1.0
-iRBcNs9oI8$_$6,center_crop_0.5,0.5,0.5,0.5,10.0,29,0.5,29,1.0
-iRBcNs9oI8$_$7,center_crop_0.7,0.5,0.5,0.5,10.0,41,0.7,41,1.0
-iRBcNs9oI8$_$7,center_crop_0.5,0.5,0.5,0.5,10.0,41,0.5,41,1.0
-iRBcNs9oI8$_$8,center_crop_0.7,0.5,0.5,0.5,10.0,81,0.7,81,1.0
-iRBcNs9oI8$_$8,center_crop_0.5,0.5,0.5,0.5,10.0,81,0.5,81,1.0
-iRBcNs9oI8$_$9,center_crop_0.7,0.5,0.5,0.5,10.0,34,0.7,24,0.7059
-iRBcNs9oI8$_$9,center_crop_0.5,0.5,0.5,0.5,10.0,34,0.5,22,0.6471
-lzEya4AM_4$_$5,center_crop_0.7,0.5,0.5,0.5,10.0,77,0.7,77,1.0
-lzEya4AM_4$_$5,center_crop_0.5,0.5,0.5,0.5,10.0,77,0.5,77,1.0
-lzEya4AM_4$_$6,center_crop_0.7,0.5,0.5,0.5,10.0,148,0.7,148,1.0
-lzEya4AM_4$_$6,center_crop_0.5,0.5,0.5,0.5,10.0,148,0.5,139,0.9392
-MeTTeMJBNc$_$0,center_crop_0.7,0.5,0.5,0.5,10.0,94,0.7,93,0.9894
-MeTTeMJBNc$_$0,center_crop_0.5,0.5,0.5,0.5,10.0,94,0.5,93,0.9894
-MeTTeMJBNc$_$13,center_crop_0.7,0.5,0.5,0.5,10.0,54,0.7,54,1.0
-MeTTeMJBNc$_$13,center_crop_0.5,0.5,0.5,0.5,10.0,54,0.5,54,1.0
-MeTTeMJBNc$_$7,center_crop_0.7,0.5,0.5,0.5,10.0,105,0.7,105,1.0
-MeTTeMJBNc$_$7,center_crop_0.5,0.5,0.5,0.5,10.0,105,0.5,105,1.0
-mJ2ud6oKI8$_$1,center_crop_0.7,0.5,0.5,0.5,10.0,61,0.7,0,0.0
-mJ2ud6oKI8$_$1,center_crop_0.5,0.5,0.5,0.5,10.0,61,0.5,0,0.0
-mJ2ud6oKI8$_$2,center_crop_0.7,0.5,0.5,0.5,10.0,57,0.7,0,0.0
-mJ2ud6oKI8$_$2,center_crop_0.5,0.5,0.5,0.5,10.0,57,0.5,0,0.0
-NFrJFQijFE$_$1,center_crop_0.7,0.5,0.5,0.5,10.0,48,0.7,0,0.0
-NFrJFQijFE$_$1,center_crop_0.5,0.5,0.5,0.5,10.0,48,0.5,0,0.0
-NFrJFQijFE$_$2,center_crop_0.7,0.5,0.5,0.5,10.0,57,0.7,0,0.0
-NFrJFQijFE$_$2,center_crop_0.5,0.5,0.5,0.5,10.0,57,0.5,0,0.0
-qDkUB0GgYY$_$6,center_crop_0.7,0.5,0.5,0.5,10.0,47,0.7,47,1.0
-qDkUB0GgYY$_$6,center_crop_0.5,0.5,0.5,0.5,10.0,47,0.5,47,1.0
-ri04Z7vwnc$_$0,center_crop_0.7,0.5,0.5,0.5,10.0,23,0.7,0,0.0
-ri04Z7vwnc$_$0,center_crop_0.5,0.5,0.5,0.5,10.0,23,0.5,0,0.0
-UacrmKiTn4$_$10,center_crop_0.7,0.5,0.5,0.5,10.0,73,0.7,73,1.0
-UacrmKiTn4$_$10,center_crop_0.5,0.5,0.5,0.5,10.0,73,0.5,73,1.0
-UacrmKiTn4$_$4,center_crop_0.7,0.5,0.5,0.5,10.0,48,0.7,48,1.0
-UacrmKiTn4$_$4,center_crop_0.5,0.5,0.5,0.5,10.0,48,0.5,48,1.0
-UUCSKoHeMA$_$0,center_crop_0.7,0.5,0.5,0.5,10.0,79,0.7,78,0.9873
-UUCSKoHeMA$_$0,center_crop_0.5,0.5,0.5,0.5,10.0,79,0.5,78,0.9873
