sample_id,setting,detection_threshold,presence_threshold,tracking_threshold,fps,sampled_frames,center_crop_ratio,detected_frames,detected_rate
-571d8cVauQ$_$0,original_0.5,0.5,0.5,0.5,10.0,52,1.0,0,0.0
-571d8cVauQ$_$0,relaxed_0.3,0.3,0.3,0.5,10.0,52,1.0,0,0.0
-571d8cVauQ$_$0,relaxed_0.2,0.2,0.2,0.3,10.0,52,1.0,0,0.0
-571d8cVauQ$_$0,center_crop_0.7,0.5,0.5,0.5,10.0,52,0.7,50,0.9615
-571d8cVauQ$_$0,center_crop_0.5,0.5,0.5,0.5,10.0,52,0.5,50,0.9615
-HwX2H8Z4hY$_$9,original_0.5,0.5,0.5,0.5,10.0,78,1.0,0,0.0
-HwX2H8Z4hY$_$9,relaxed_0.3,0.3,0.3,0.5,10.0,78,1.0,0,0.0
-HwX2H8Z4hY$_$9,relaxed_0.2,0.2,0.2,0.3,10.0,78,1.0,0,0.0
-HwX2H8Z4hY$_$9,center_crop_0.7,0.5,0.5,0.5,10.0,78,0.7,0,0.0
-HwX2H8Z4hY$_$9,center_crop_0.5,0.5,0.5,0.5,10.0,78,0.5,15,0.1923
-iRBcNs9oI8$_$3,original_0.5,0.5,0.5,0.5,10.0,56,1.0,0,0.0
-iRBcNs9oI8$_$3,relaxed_0.3,0.3,0.3,0.5,10.0,56,1.0,0,0.0
-iRBcNs9oI8$_$3,relaxed_0.2,0.2,0.2,0.3,10.0,56,1.0,0,0.0
-iRBcNs9oI8$_$3,center_crop_0.7,0.5,0.5,0.5,10.0,56,0.7,56,1.0
-iRBcNs9oI8$_$3,center_crop_0.5,0.5,0.5,0.5,10.0,56,0.5,56,1.0
-MeTTeMJBNc$_$0,original_0.5,0.5,0.5,0.5,10.0,94,1.0,0,0.0
-MeTTeMJBNc$_$0,relaxed_0.3,0.3,0.3,0.5,10.0,94,1.0,0,0.0
-MeTTeMJBNc$_$0,relaxed_0.2,0.2,0.2,0.3,10.0,94,1.0,0,0.0
-MeTTeMJBNc$_$0,center_crop_0.7,0.5,0.5,0.5,10.0,94,0.7,93,0.9894
-MeTTeMJBNc$_$0,center_crop_0.5,0.5,0.5,0.5,10.0,94,0.5,93,0.9894
-NFrJFQijFE$_$1,original_0.5,0.5,0.5,0.5,10.0,48,1.0,0,0.0
-NFrJFQijFE$_$1,relaxed_0.3,0.3,0.3,0.5,10.0,48,1.0,0,0.0
-NFrJFQijFE$_$1,relaxed_0.2,0.2,0.2,0.3,10.0,48,1.0,0,0.0
-NFrJFQijFE$_$1,center_crop_0.7,0.5,0.5,0.5,10.0,48,0.7,0,0.0
-NFrJFQijFE$_$1,center_crop_0.5,0.5,0.5,0.5,10.0,48,0.5,0,0.0
-UUCSKoHeMA$_$0,original_0.5,0.5,0.5,0.5,10.0,79,1.0,0,0.0
-UUCSKoHeMA$_$0,relaxed_0.3,0.3,0.3,0.5,10.0,79,1.0,0,0.0
-UUCSKoHeMA$_$0,relaxed_0.2,0.2,0.2,0.3,10.0,79,1.0,0,0.0
-UUCSKoHeMA$_$0,center_crop_0.7,0.5,0.5,0.5,10.0,79,0.7,78,0.9873
-UUCSKoHeMA$_$0,center_crop_0.5,0.5,0.5,0.5,10.0,79,0.5,78,0.9873
-egA8-b7-3M$_$26,original_0.5,0.5,0.5,0.5,10.0,60,1.0,60,1.0
-egA8-b7-3M$_$26,relaxed_0.3,0.3,0.3,0.5,10.0,60,1.0,60,1.0
-egA8-b7-3M$_$26,relaxed_0.2,0.2,0.2,0.3,10.0,60,1.0,60,1.0
-egA8-b7-3M$_$26,center_crop_0.7,0.5,0.5,0.5,10.0,60,0.7,60,1.0
-egA8-b7-3M$_$26,center_crop_0.5,0.5,0.5,0.5,10.0,60,0.5,60,1.0
