sample_id,status,token_count,window_count,unresolved_words,audio_valid_tokens,vision_valid_tokens,video_decoded_frames,video_processed_frames,face_frames,elapsed_s,error
-3g5yACwYnA$_$13,PASS,20,1,0,18,18,163,55,55,16.49,
-9y-fZ3swSY$_$4,REVIEW,13,1,1,10,10,81,28,27,0.66,
-yRb-Jum7EQ$_$1,REVIEW,57,2,8,47,47,875,293,282,4.79,
-3g5yACwYnA$_$3,PASS,42,1,0,40,40,431,144,144,2.38,
-3g5yACwYnA$_$2,PASS,19,1,0,17,17,278,94,94,1.62,
-3g5yACwYnA$_$9,PASS,30,1,0,28,28,263,88,88,1.64,
-3nNcZdcdvU$_$5,PASS,24,1,0,22,22,236,79,79,0.99,
-HwX2H8Z4hY$_$2,REVIEW,14,1,3,8,1,119,40,7,0.82,
-HwX2H8Z4hY$_$5,REVIEW,12,1,1,9,2,168,57,14,1.07,
-HwX2H8Z4hY$_$6,REVIEW,11,1,0,9,7,99,34,14,0.66,
-HwX2H8Z4hY$_$9,REVIEW,26,1,1,23,0,232,78,0,0.98,
-NFrJFQijFE$_$1,REVIEW,18,1,16,0,0,142,48,0,0.67,
-NFrJFQijFE$_$2,REVIEW,20,1,12,6,0,169,57,0,0.83,
-THoVjtIkeU$_$12,PASS,44,1,0,42,42,445,149,149,1.81,
-THoVjtIkeU$_$2,PASS,13,1,0,11,11,128,43,43,0.55,
-THoVjtIkeU$_$6,REVIEW,34,1,2,30,30,241,81,81,1.02,
-UuX1xuaiiE$_$1,REVIEW,35,1,0,33,1,309,104,5,1.37,
-UuX1xuaiiE$_$0,REVIEW,14,1,1,8,5,109,37,18,0.61,
-UuX1xuaiiE$_$3,REVIEW,11,1,0,9,9,123,41,38,0.85,
-UuX1xuaiiE$_$6,REVIEW,25,1,1,22,21,240,81,78,1.47,
-a55Q6RWvTA$_$3,REVIEW,84,2,1,81,81,664,222,222,2.54,
-aNfi7CP8vM$_$7,PASS,25,1,0,23,23,257,87,87,1.04,
-aqamKhZ1Ec$_$0,REVIEW,18,1,2,13,13,329,110,110,1.9,
-dxfTGcXJoc$_$1,PASS,44,1,0,42,42,482,161,161,1.83,
-dxfTGcXJoc$_$0,REVIEW,62,2,3,51,41,615,206,160,2.25,
-dxfTGcXJoc$_$2,REVIEW,42,1,2,36,36,500,167,167,1.99,
-dxfTGcXJoc$_$6,REVIEW,34,1,0,32,32,381,128,126,1.52,
-egA8-b7-3M$_$26,PASS,21,1,0,19,19,179,60,60,0.82,
-egA8-b7-3M$_$17,PASS,21,1,0,19,19,215,73,73,0.96,
-egA8-b7-3M$_$18,PASS,29,1,0,27,27,250,84,84,1.1,
