检查层级,样本ID,自动状态,问题类型,原视频,给定文本,待查词,建议跳转秒,自动起点秒,自动终点秒,对齐分数,人工判定,修正起点秒,修正终点秒,审查者,审查日期,备注
整段,-3g5yACwYnA$_$13,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\13.mp4,They've been able to find solutions or at least bring some answers to the table.,,,,,,,,,,,
整段,-3g5yACwYnA$_$2,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\2.mp4,Key Polymer brings a technical aspect to our operation that we don't have internally.,,,,,,,,,,,
整段,-3g5yACwYnA$_$3,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\3.mp4,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",,,,,,,,,,,
整段,-3g5yACwYnA$_$9,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\9.mp4,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",,,,,,,,,,,
整段,-3nNcZdcdvU$_$5,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3nNcZdcdvU\5.mp4,Noncompliance can result in legal liability to you and to the school district in which you are employed.,,,,,,,,,,,
整段,-571d8cVauQ$_$0,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-571d8cVauQ\0.mp4,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",,,,,,,,,,,
异常点,-571d8cVauQ$_$0,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-571d8cVauQ\0.mp4,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",,,,,,,,,,,
整段,-571d8cVauQ$_$5,REVIEW,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-571d8cVauQ\5.mp4,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",,,,,,,,,,,
异常点,-571d8cVauQ$_$5,REVIEW,low_face_coverage,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-571d8cVauQ\5.mp4,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",,,,,,,,,,,
整段,-6rXp3zJ3kc$_$8,PASS,文本/音画/目标人物总核对,D:\第二十三届中国研究生数学建模竞赛 - 中文题目\中文题目\E题\工程\data\raw\extracted\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-6rXp3zJ3kc\8.mp4,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,,,,,,,,,,,
