sample_id,status,token_count,window_count,unresolved_words,audio_valid_tokens,vision_valid_tokens,video_decoded_frames,video_processed_frames,face_frames,elapsed_s,error,visual_mode,baseline_face_frames
-3g5yACwYnA$_$13,PASS,20,1,0,18,18,163,55,55,0.0,,original,55
-3g5yACwYnA$_$2,PASS,19,1,0,17,17,278,94,94,0.0,,original,94
-3g5yACwYnA$_$3,PASS,42,1,0,40,40,431,144,144,0.0,,original,144
-3g5yACwYnA$_$9,PASS,30,1,0,28,28,263,88,88,0.0,,original,88
-3nNcZdcdvU$_$5,PASS,24,1,0,22,22,236,79,79,0.0,,original,79
-571d8cVauQ$_$0,REVIEW,18,1,0,16,16,152,52,50,1.16,,center_crop_0.7,0
-571d8cVauQ$_$5,REVIEW,54,2,0,52,52,455,153,153,3.22,,center_crop_0.7,0
-6rXp3zJ3kc$_$8,PASS,40,1,0,38,38,384,128,128,0.0,,original,128
-9y-fZ3swSY$_$0,REVIEW,30,1,3,25,25,205,69,69,0.0,,original,69
-9y-fZ3swSY$_$4,REVIEW,13,1,1,10,10,81,28,27,0.0,,original,27
-9y-fZ3swSY$_$8,REVIEW,16,1,0,14,11,149,50,38,0.0,,original,38
-a55Q6RWvTA$_$3,REVIEW,84,2,1,81,81,664,222,222,0.01,,original,222
-aNfi7CP8vM$_$7,PASS,25,1,0,23,23,257,87,87,0.0,,original,87
-aqamKhZ1Ec$_$0,REVIEW,18,1,2,13,13,329,110,110,0.0,,original,110
-AUZQgSxyPQ$_$2,REVIEW,58,2,1,55,55,674,225,225,0.01,,original,225
-dxfTGcXJoc$_$0,REVIEW,62,2,3,51,41,615,206,160,0.0,,original,160
-dxfTGcXJoc$_$1,PASS,44,1,0,42,42,482,161,161,0.0,,original,161
-dxfTGcXJoc$_$2,REVIEW,42,1,2,36,36,500,167,167,0.0,,original,167
-dxfTGcXJoc$_$6,REVIEW,34,1,0,32,32,381,128,126,0.0,,original,126
-egA8-b7-3M$_$1,REVIEW,24,1,1,20,20,306,103,103,0.0,,original,103
-egA8-b7-3M$_$13,PASS,18,1,0,16,16,123,42,42,0.0,,original,42
-egA8-b7-3M$_$16,PASS,15,1,0,13,13,166,56,56,0.0,,original,56
-egA8-b7-3M$_$17,PASS,21,1,0,19,19,215,73,73,0.0,,original,73
-egA8-b7-3M$_$18,PASS,29,1,0,27,27,250,84,84,0.0,,original,84
-egA8-b7-3M$_$20,PASS,26,1,0,24,24,196,66,66,0.0,,original,66
-egA8-b7-3M$_$26,PASS,21,1,0,19,19,179,60,60,0.0,,original,60
-egA8-b7-3M$_$6,PASS,15,1,0,13,13,187,63,63,0.0,,original,63
-egA8-b7-3M$_$9,PASS,14,1,0,12,12,150,51,51,0.0,,original,51
-HeZS2-Prhc$_$2,REVIEW,19,1,0,17,17,246,83,83,1.82,,center_crop_0.7,0
-hnBHBN8p5A$_$6,REVIEW,16,1,2,11,3,153,51,23,1.52,,center_crop_0.7,3
-hnBHBN8p5A$_$7,REVIEW,19,1,4,12,10,176,59,29,1.65,,center_crop_0.5,0
-HwX2H8Z4hY$_$2,REVIEW,14,1,3,8,1,119,40,8,0.96,,center_crop_0.7,7
-HwX2H8Z4hY$_$5,REVIEW,12,1,1,9,2,168,57,18,1.78,,center_crop_0.7,14
-HwX2H8Z4hY$_$6,REVIEW,11,1,0,9,7,99,34,17,1.13,,center_crop_0.7,14
-HwX2H8Z4hY$_$9,REVIEW,26,1,1,23,6,232,78,15,1.55,,center_crop_0.5,0
-I_e4mIh0yE$_$1,PASS,23,1,0,21,21,225,76,76,0.0,,original,76
-I_e4mIh0yE$_$3,PASS,32,1,0,30,30,271,91,91,0.0,,original,91
-iRBcNs9oI8$_$3,REVIEW,11,1,2,7,7,167,56,56,1.55,,center_crop_0.7,0
-iRBcNs9oI8$_$6,REVIEW,7,1,2,3,3,85,29,29,1.05,,center_crop_0.7,0
-iRBcNs9oI8$_$7,REVIEW,17,1,2,13,13,120,41,41,1.22,,center_crop_0.7,0
-iRBcNs9oI8$_$8,REVIEW,28,1,5,20,20,241,81,81,2.17,,center_crop_0.7,0
-iRBcNs9oI8$_$9,REVIEW,7,1,1,4,4,102,34,23,1.11,,center_crop_0.7,0
-lzEya4AM_4$_$5,REVIEW,23,1,1,20,20,229,77,77,1.59,,center_crop_0.7,0
-lzEya4AM_4$_$6,REVIEW,50,1,1,47,47,443,148,148,3.27,,center_crop_0.7,0
-MeTTeMJBNc$_$0,REVIEW,28,1,0,26,26,279,94,93,2.09,,center_crop_0.7,0
-MeTTeMJBNc$_$13,REVIEW,18,1,0,16,16,159,54,54,1.22,,center_crop_0.7,0
-MeTTeMJBNc$_$7,REVIEW,35,1,0,33,33,314,105,105,2.31,,center_crop_0.7,0
-mJ2ud6oKI8$_$1,REVIEW,15,1,13,0,0,182,61,0,1.17,,original,0
-mJ2ud6oKI8$_$2,REVIEW,19,1,11,0,0,171,57,0,1.22,,original,0
-mJ2ud6oKI8$_$6,PASS,7,1,0,5,5,67,23,23,0.0,,original,23
-mJ2ud6oKI8$_$8,REVIEW,13,1,4,7,7,125,42,42,0.0,,original,42
-mJ2ud6oKI8$_$9,REVIEW,31,1,5,23,23,208,70,68,0.01,,original,68
-mqbVkbCndg$_$0,PASS,19,1,0,17,17,194,65,65,0.0,,original,65
-NFrJFQijFE$_$1,REVIEW,18,1,16,0,0,142,48,0,1.03,,original,0
-NFrJFQijFE$_$2,REVIEW,20,1,12,6,0,169,57,0,1.35,,original,0
-qDkUB0GgYY$_$6,REVIEW,20,1,1,17,17,140,47,47,1.11,,center_crop_0.7,0
-RfYyzHpjk4$_$11,PASS,21,1,0,19,19,154,52,52,0.0,,original,52
-RfYyzHpjk4$_$2,REVIEW,31,1,2,26,26,164,55,54,0.0,,original,54
-RfYyzHpjk4$_$8,PASS,23,1,0,21,21,137,46,46,0.0,,original,46
-ri04Z7vwnc$_$0,REVIEW,10,1,6,2,0,67,23,0,0.5,,original,0
-ri04Z7vwnc$_$2,REVIEW,28,1,14,4,1,143,48,17,1.04,,original,17
-ri04Z7vwnc$_$5,REVIEW,13,1,5,4,4,83,28,28,0.0,,original,28
-s9qJ7ATP7w$_$0,REVIEW,30,1,1,27,26,204,69,68,0.0,,original,68
-s9qJ7ATP7w$_$1,PASS,14,1,0,12,12,140,48,48,0.0,,original,48
-s9qJ7ATP7w$_$4,PASS,12,1,0,10,7,129,44,29,0.0,,original,29
-s9qJ7ATP7w$_$5,REVIEW,22,1,1,19,19,253,85,85,0.0,,original,85
-s9qJ7ATP7w$_$6,PASS,7,1,0,5,5,71,25,19,0.0,,original,19
-s9qJ7ATP7w$_$7,REVIEW,40,1,2,36,18,207,70,38,0.0,,original,38
-s9qJ7ATP7w$_$8,REVIEW,19,1,1,16,15,97,33,29,0.0,,original,29
-t217m2on-s$_$2,PASS,18,1,0,16,16,170,57,57,0.0,,original,57
-t217m2on-s$_$7,PASS,55,2,0,53,53,512,172,172,0.01,,original,172
-tANM6ETl_M$_$3,REVIEW,31,1,1,28,28,200,67,67,0.0,,original,67
-THoVjtIkeU$_$12,PASS,44,1,0,42,42,445,149,149,0.0,,original,149
-THoVjtIkeU$_$2,PASS,13,1,0,11,11,128,43,43,0.0,,original,43
-THoVjtIkeU$_$6,REVIEW,34,1,2,30,30,241,81,81,0.0,,original,81
-tPCytz4rww$_$10,PASS,17,1,0,15,15,142,48,48,0.0,,original,48
-tPCytz4rww$_$11,PASS,22,1,0,20,20,164,55,55,0.0,,original,55
-tPCytz4rww$_$12,REVIEW,30,1,2,26,26,353,118,118,0.0,,original,118
-tPCytz4rww$_$16,PASS,19,1,0,17,17,216,72,72,0.0,,original,72
-tPCytz4rww$_$18,PASS,24,1,0,22,22,199,67,67,0.0,,original,67
-UacrmKiTn4$_$10,REVIEW,24,1,0,22,22,218,73,73,1.58,,center_crop_0.7,0
-UacrmKiTn4$_$4,REVIEW,17,1,0,15,15,142,48,48,1.06,,center_crop_0.7,0
-UUCSKoHeMA$_$0,REVIEW,25,1,0,23,23,234,79,78,1.73,,center_crop_0.7,0
-UuX1xuaiiE$_$0,REVIEW,14,1,1,8,8,109,37,35,1.01,,center_crop_0.5,18
-UuX1xuaiiE$_$1,REVIEW,35,1,0,33,32,309,104,99,2.88,,center_crop_0.5,5
-UuX1xuaiiE$_$3,REVIEW,11,1,0,9,9,123,41,38,0.0,,original,38
-UuX1xuaiiE$_$6,REVIEW,25,1,1,22,21,240,81,78,0.0,,original,78
-uywlfIYOS8$_$4,PASS,24,1,0,22,22,179,60,60,0.0,,original,60
-vxjVxOeScU$_$4,REVIEW,29,1,2,23,23,272,91,91,0.0,,original,91
-wMB_hJL-3o$_$7,PASS,25,1,0,23,23,181,61,60,0.0,,original,60
-wny0OAz3g8$_$0,PASS,13,1,0,11,11,100,34,28,0.0,,original,28
-wny0OAz3g8$_$1,REVIEW,30,1,1,27,26,205,69,67,1.85,,center_crop_0.7,28
-wny0OAz3g8$_$2,PASS,30,1,0,28,28,197,67,55,0.0,,original,55
-wny0OAz3g8$_$3,REVIEW,22,1,0,20,11,184,62,40,0.0,,original,40
-wny0OAz3g8$_$5,REVIEW,29,1,0,27,27,204,69,67,1.94,,center_crop_0.7,13
-wny0OAz3g8$_$7,REVIEW,33,1,0,31,30,240,81,76,0.0,,original,76
-wny0OAz3g8$_$9,REVIEW,24,1,1,21,21,183,62,56,0.0,,original,56
-yRb-Jum7EQ$_$1,REVIEW,57,2,8,47,47,875,293,282,0.01,,original,282
-yRb-Jum7EQ$_$5,REVIEW,33,1,10,21,21,394,132,132,0.0,,original,132
-yRb-Jum7EQ$_$6,REVIEW,26,1,6,17,17,336,112,112,0.0,,original,112
