sample_id,status,words,valid_words,word_alignment_coverage,processed_video_frames,face_frames,face_detection_rate,video_duration_s
-3g5yACwYnA$_$13,PASS,15,15,1.0,55,55,1.0,5.513997
-3g5yACwYnA$_$2,PASS,14,14,1.0,94,94,1.0,9.39401
-3g5yACwYnA$_$3,PASS,29,29,1.0,144,144,1.0,14.388997
-3g5yACwYnA$_$9,PASS,21,21,1.0,88,88,1.0,8.816992
-3nNcZdcdvU$_$5,PASS,18,18,1.0,79,79,1.0,7.867969
-571d8cVauQ$_$0,REVIEW,12,12,1.0,52,50,0.9615384615384616,5.066667
-571d8cVauQ$_$5,REVIEW,43,43,1.0,153,153,1.0,15.272982
-6rXp3zJ3kc$_$8,PASS,34,34,1.0,128,128,1.0,12.805013
-9y-fZ3swSY$_$0,REVIEW,22,19,0.8636363636363636,69,69,1.0,6.833333
-9y-fZ3swSY$_$4,REVIEW,9,8,0.8888888888888888,28,27,0.9642857142857143,2.821029
-9y-fZ3swSY$_$8,REVIEW,12,12,1.0,50,38,0.76,4.988997
-a55Q6RWvTA$_$3,REVIEW,65,64,0.9846153846153847,222,222,1.0,22.153971
-aNfi7CP8vM$_$7,PASS,18,18,1.0,87,87,1.0,8.694987
-aqamKhZ1Ec$_$0,REVIEW,14,12,0.8571428571428571,110,110,1.0,10.966667
-AUZQgSxyPQ$_$2,REVIEW,41,40,0.975609756097561,225,225,1.0,22.511003
-dxfTGcXJoc$_$0,REVIEW,41,38,0.926829268292683,206,160,0.7766990291262136,20.5
-dxfTGcXJoc$_$1,PASS,36,36,1.0,161,161,1.0,16.161003
-dxfTGcXJoc$_$2,REVIEW,34,32,0.9411764705882353,167,167,1.0,16.697982
-dxfTGcXJoc$_$6,REVIEW,27,27,1.0,128,126,0.984375,12.735026
-egA8-b7-3M$_$1,REVIEW,20,19,0.95,103,103,1.0,10.266016
-egA8-b7-3M$_$13,PASS,11,11,1.0,42,42,1.0,4.183984
-egA8-b7-3M$_$16,PASS,11,11,1.0,56,56,1.0,5.538021
-egA8-b7-3M$_$17,PASS,16,16,1.0,73,73,1.0,7.271029
-egA8-b7-3M$_$18,PASS,22,22,1.0,84,84,1.0,8.386003
-egA8-b7-3M$_$20,PASS,20,20,1.0,66,66,1.0,6.644987
