modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.603021978021978,0.5784092062237444,0.6226012793176973,0.42492917847025496,0.6876971608832808,0.6084999442100525,0.6184625820670367,0.03159340659340659,-0.020604395604395642,-0.0211640390529948,0.025052130222320557,-0.021340875692780537
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6236263736263736,0.5998572161640895,0.6433260393873085,0.45454545454545453,0.7017001545595054,0.5855674147605896,0.6375687410979012,0.0260989010989011,0.0,0.0002839708873503266,0.002119600772857666,-0.002234716661916103
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.625,0.6013922350233356,0.6417582417582418,0.4576271186440678,0.7047913446676971,0.583442747592926,0.6399127454553191,0.0260989010989011,0.0013736263736263687,0.0018189897465964444,-5.066394805908203e-06,0.00010928769550178075
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.6071428571428571,0.5839234153338589,0.6226012793176973,0.43820224719101125,0.6909667194928685,0.6098315715789795,0.6166064160202325,0.03708791208791209,-0.016483516483516536,-0.015649829942880222,0.02638375759124756,-0.02319704173958481
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.6016483516483516,0.5756213912751352,0.6199575371549894,0.41714285714285715,0.6897637795275591,0.6087826490402222,0.6182110061128173,0.03571428571428571,-0.02197802197802201,-0.023951854001603934,0.025334835052490234,-0.021592451646999966
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.625,0.6016786432813874,0.6433260393873085,0.45892351274787535,0.7027863777089783,0.5854343175888062,0.6377208445559971,0.0260989010989011,0.0013736263736263687,0.0021053980046482623,0.0019865036010742188,-0.002082613203820194
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5782967032967034,0.55998519943336,0.5895196506550219,0.43548387096774194,0.6549520766773163,0.6410441994667053,0.5466339706566562,0.0260989010989011,-0.04532967032967028,-0.03958804584337916,0.05759638547897339,-0.09316948710316109
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6181318681318682,0.5960539245263502,0.6403508771929824,0.4563380281690141,0.6914728682170542,0.5890094041824341,0.6339573119828635,0.020604395604395604,-0.005494505494505475,-0.0035193207503889656,0.0055615901947021484,-0.005846145776953748
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6263736263736264,0.6020566583708667,0.6433260393873085,0.45714285714285713,0.7057010785824345,0.5842446088790894,0.6395326268347241,0.024725274725274724,0.0027472527472527375,0.0024834130941275845,0.0007967948913574219,-0.0002708309250931684
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5810439560439561,0.5626384126384126,0.5844155844155844,0.44324324324324327,0.6602564102564102,0.6448785066604614,0.5421379610315639,0.027472527472527472,-0.04258241758241754,-0.03693483263832653,0.06143069267272949,-0.09766549672825342
