modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5865384615384616,0.5728587643356701,0.6220095693779905,0.43414634146341463,0.6624203821656051,0.6158284544944763,0.6118412567233901,0.009615384615384616,-0.026098901098901117,-0.03365016496575368,0.02110689878463745,-0.021648476045774245
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6167582417582418,0.6101947669643631,0.665083135391924,0.4988344988344988,0.6666666666666666,0.597182035446167,0.631817992037789,0.006868131868131868,0.004120879120879106,0.003685837662939395,0.002460479736328125,-0.0016717407313753263
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.6126373626373627,0.6065089293014237,0.6619047619047619,0.49537037037037035,0.6622516556291391,0.5947215557098389,0.6334897365094693,0.008241758241758242,0.0,0.0,0.0,3.740304954646945e-09
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.5837912087912088,0.5723469302592274,0.6220095693779905,0.4412470023980815,0.6537842190016103,0.6166489124298096,0.6102084211390936,0.013736263736263736,-0.028846153846153855,-0.0341619990421963,0.021927356719970703,-0.023281311630070745
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.5865384615384616,0.5728587643356701,0.6220095693779905,0.43414634146341463,0.6624203821656051,0.6158284544944763,0.6118412567233901,0.009615384615384616,-0.026098901098901117,-0.03365016496575368,0.02110689878463745,-0.021648476045774245
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.6167582417582418,0.6101947669643631,0.665083135391924,0.4988344988344988,0.6666666666666666,0.597182035446167,0.631817992037789,0.006868131868131868,0.004120879120879106,0.003685837662939395,0.002460479736328125,-0.0016717407313753263
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5673076923076923,0.5548459809007353,0.585,0.43498817966903075,0.6445497630331753,0.6525159478187561,0.5375082459774702,0.005494505494505495,-0.04532967032967039,-0.05166294840068841,0.057794392108917236,-0.09598148679169416
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6016483516483516,0.5950775525996149,0.6492890995260664,0.48036951501154734,0.6555740432612313,0.6009637117385864,0.6277822832817082,0.009615384615384616,-0.010989010989011061,-0.011431376701808826,0.006242156028747559,-0.005707449487456162
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6126373626373627,0.6065089293014237,0.6619047619047619,0.49537037037037035,0.6622516556291391,0.5947215557098389,0.6334897365094693,0.008241758241758242,0.0,0.0,0.0,3.740304954646945e-09
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5728021978021978,0.5627945852366073,0.5843828715365239,0.45977011494252873,0.6442307692307693,0.6561839580535889,0.5309745217085425,0.01098901098901099,-0.039835164835164916,-0.043714344064816446,0.06146240234375,-0.10251521106062178
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5673076923076923,0.5548459809007353,0.585,0.43498817966903075,0.6445497630331753,0.6525159478187561,0.5375082459774702,0.005494505494505495,-0.04532967032967039,-0.05166294840068841,0.057794392108917236,-0.09598148679169416
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.6016483516483516,0.5950775525996149,0.6492890995260664,0.48036951501154734,0.6555740432612313,0.6009637117385864,0.6277822832817082,0.009615384615384616,-0.010989010989011061,-0.011431376701808826,0.006242156028747559,-0.005707449487456162
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5398351648351648,0.5283829178520341,0.5333333333333333,0.4260089686098655,0.6258064516129033,0.6795374155044556,0.47981029100670275,0.012362637362637362,-0.07280219780219788,-0.07812601144938969,0.0848158597946167,-0.15367944176246157
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.5906593406593407,0.5845380401444474,0.6411483253588517,0.4636363636363636,0.6488294314381271,0.6001840233802795,0.6280842855184487,0.008241758241758242,-0.02197802197802201,-0.021970889156976314,0.005462467670440674,-0.005405447250715567
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0.6126373626373627,0.6065089293014237,0.6619047619047619,0.49537037037037035,0.6622516556291391,0.5947215557098389,0.6334897365094693,0.008241758241758242,0.0,0.0,0.0,3.740304954646945e-09
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5412087912087912,0.5303378984035002,0.5221932114882507,0.4391304347826087,0.6296900489396411,0.6845008730888367,0.47809667054528043,0.01098901098901099,-0.07142857142857151,-0.07617103089792354,0.0897793173789978,-0.15539306222388388
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,0.5398351648351648,0.5283829178520341,0.5333333333333333,0.4260089686098655,0.6258064516129033,0.6795374155044556,0.47981029100670275,0.012362637362637362,-0.07280219780219788,-0.07812601144938969,0.0848158597946167,-0.15367944176246157
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0.5906593406593407,0.5845380401444474,0.6411483253588517,0.4636363636363636,0.6488294314381271,0.6001840233802795,0.6280842855184487,0.008241758241758242,-0.02197802197802201,-0.021970889156976314,0.005462467670440674,-0.005405447250715567
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5741758241758241,0.5634873223483255,0.6074074074074074,0.43457943925233644,0.6484751203852327,0.6139759421348572,0.5951959641632238,0.016483516483516484,-0.03846153846153855,-0.0430216069530982,0.01925438642501831,-0.03829376860594047
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6085164835164835,0.6022073802105162,0.665083135391924,0.48259860788863107,0.6589403973509934,0.5928075313568115,0.6352325669611874,0.006868131868131868,-0.004120879120879217,-0.004301549090907519,-0.0019140243530273438,0.001742834192023035
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0.6126373626373627,0.6065089293014237,0.6619047619047619,0.49537037037037035,0.6622516556291391,0.5947215557098389,0.6334897365094693,0.008241758241758242,0.0,0.0,0.0,3.740304954646945e-09
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.5865384615384616,0.5758876904654872,0.6188118811881188,0.4507042253521127,0.65814696485623,0.6109569668769836,0.5981410044067235,0.012362637362637362,-0.026098901098901117,-0.030621238835936593,0.016235411167144775,-0.03534872836244085
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,0.5741758241758241,0.5634873223483255,0.6074074074074074,0.43457943925233644,0.6484751203852327,0.6139759421348572,0.5951959641632238,0.016483516483516484,-0.03846153846153855,-0.0430216069530982,0.01925438642501831,-0.03829376860594047
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0.6085164835164835,0.6022073802105162,0.665083135391924,0.48259860788863107,0.6589403973509934,0.5928075313568115,0.6352325669611874,0.006868131868131868,-0.004120879120879217,-0.004301549090907519,-0.0019140243530273438,0.001742834192023035
T,middle,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5659340659340659,0.5537544936494557,0.5721649484536082,0.4444444444444444,0.6446540880503144,0.629194974899292,0.5550452563795408,0.008241758241758242,-0.04670329670329676,-0.052754435651968024,0.034473419189453125,-0.07844447638962349
A,middle,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6016483516483516,0.5956314729502145,0.6635294117647059,0.4755244755244755,0.6478405315614618,0.5919221043586731,0.6354896549693361,0.009615384615384616,-0.010989010989011061,-0.010877456351209291,-0.0027994513511657715,0.0019999222001717554
V,middle,0.3,728,5478,0.3284235928836993,0.3199110671936759,0.6126373626373627,0.6065089293014237,0.6619047619047619,0.49537037037037035,0.6622516556291391,0.5947215557098389,0.6334897365094693,0.008241758241758242,0.0,0.0,0.0,3.740304954646945e-09
TA,middle,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5686813186813187,0.5579208934438441,0.5692307692307692,0.4622425629290618,0.6422893481717011,0.6267678737640381,0.5572530655054235,0.008241758241758242,-0.04395604395604402,-0.04858803585757965,0.03204631805419922,-0.07623666726374079
TV,middle,0.3,728,5478,0.3284235928836993,0.3194461095791871,0.5659340659340659,0.5537544936494557,0.5721649484536082,0.4444444444444444,0.6446540880503144,0.629194974899292,0.5550452563795408,0.008241758241758242,-0.04670329670329676,-0.052754435651968024,0.034473419189453125,-0.07844447638962349
AV,middle,0.3,728,5478,0.3284235928836993,0.3194369409928567,0.6016483516483516,0.5956314729502145,0.6635294117647059,0.4755244755244755,0.6478405315614618,0.5919221043586731,0.6354896549693361,0.009615384615384616,-0.010989010989011061,-0.010877456351209291,-0.0027994513511657715,0.0019999222001717554
T,middle,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5178571428571429,0.5114072140148299,0.53125,0.41025641025641024,0.5927152317880795,0.6608450412750244,0.512994911910468,0.01510989010989011,-0.09478021978021978,-0.09510171528659384,0.06612348556518555,-0.12049482085869634
A,middle,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6002747252747253,0.5925848415558915,0.6524822695035462,0.4728132387706856,0.6524590163934426,0.5924535989761353,0.6353102729288024,0.009615384615384616,-0.01236263736263743,-0.013924087745532221,-0.0022679567337036133,0.0018205401596380621
V,middle,0.5,728,8752,0.516434327252749,0.5101284584980237,0.6126373626373627,0.6065089293014237,0.6619047619047619,0.49537037037037035,0.6622516556291391,0.5947215557098389,0.6334897365094693,0.008241758241758242,0.0,0.0,0.0,3.740304954646945e-09
TA,middle,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5302197802197802,0.5201330360346117,0.5329815303430079,0.41228070175438597,0.6151368760064412,0.6629227995872498,0.5162639918555214,0.012362637362637362,-0.08241758241758246,-0.08637589326681205,0.06820124387741089,-0.1172257409136429
