epoch,fallback_clean,group_T,group_A,group_V,group_TA,group_TV,group_AV,text_newly_lost,text_newly_lost_ratio,audio_newly_lost,audio_newly_lost_ratio,vision_newly_lost,vision_newly_lost_ratio
1,0,874,902,816,267,276,260,10237,0.13315210322312115,10263,0.13360323886639677,9265,0.12755909848140654
2,0,845,889,810,271,289,291,10000,0.1300694570900861,10583,0.13776898342814742,9373,0.12904602591108724
3,0,840,879,835,267,263,311,9653,0.1255560469290601,10154,0.13218428212505046,9389,0.12926631145622514
4,0,866,849,881,276,272,251,10186,0.1324887489919617,10053,0.1308694689977479,9858,0.1357234314980794
5,0,867,839,857,288,282,262,10174,0.1323326656434536,9923,0.1291771352695367,9376,0.1290873294508006
6,0,810,847,829,302,321,286,10206,0.1327488879061419,10252,0.1334600413970866,9699,0.13353434389327165
7,0,803,878,857,273,296,288,9716,0.12637548450872765,10468,0.13627191897626828,9688,0.13338289758098937
8,0,891,839,825,280,267,293,10374,0.13493405478525533,10053,0.1308694689977479,9164,0.12616854597772362
9,0,826,900,844,292,265,268,9885,0.1285736583335501,10349,0.13472278271736726,9431,0.1298445610122121
10,0,848,883,852,278,265,269,10085,0.13117504747535183,10357,0.13482692633141102,9564,0.13167568460617074
11,0,830,852,844,291,292,286,10157,0.13211154756640045,9935,0.12933335069060234,9688,0.13338289758098937
12,0,832,827,889,256,276,315,9835,0.12792331104809967,9985,0.12998424827837587,10215,0.14063855272396844
13,0,890,817,844,287,269,288,10224,0.13298301292890405,10150,0.13213221031802855,9219,0.12692577753913512
14,0,867,826,890,268,282,262,10202,0.13269686012330584,9992,0.13007537394066418,9960,0.1371277518483334
15,0,862,831,874,284,271,273,10610,0.13800369397258136,9704,0.12632620383508858,9484,0.13057425688048133
16,0,838,806,880,279,298,294,10094,0.1312921099867329,9850,0.12822682479138733,10171,0.14003276747483925
17,0,834,852,856,315,267,271,10136,0.1318384017065113,10139,0.1319890128487184,9348,0.1287018297468093
18,0,846,837,861,285,266,300,10224,0.13298301292890405,10109,0.13159847429605426,9525,0.13113873858989716
19,0,849,863,852,269,275,287,9527,0.12391717176972503,10169,0.1323795514013825,9842,0.1355031459529415
20,0,864,832,827,300,290,282,10182,0.13243672120912567,10222,0.13306950284442245,9863,0.13579227073093497
21,0,888,834,887,265,259,262,10161,0.13216357534923648,9915,0.12907299165549294,9745,0.13416766483554307
22,0,881,826,818,288,277,305,10094,0.1312921099867329,10083,0.131260007550412,9582,0.13192350584445087
23,0,857,850,815,302,313,258,10620,0.13813376342967146,10210,0.1329132874233568,9286,0.12784822325939998
24,0,873,833,870,283,261,275,9816,0.12767617907962853,9883,0.12865641719931786,9321,0.12833009788938912
25,0,827,892,859,290,267,260,9861,0.12826149163653391,10463,0.13620682921749092,9461,0.13025759640934562
26,0,856,823,847,278,293,298,10271,0.13359433937722745,9831,0.1279794837080334,10268,0.14136824859223768
27,0,853,859,841,273,298,271,10373,0.1349210478395463,10055,0.13089550490125884,9541,0.13135902413503503
28,0,853,851,825,317,260,289,10230,0.1330610546031581,10483,0.13646718825260035,9205,0.12673302768713945
29,0,851,829,849,267,310,289,10441,0.1358055201477589,10106,0.13155942044078783,10128,0.13944075007228118
30,0,837,847,832,288,283,308,9876,0.12845659582216903,10383,0.13516539307705325,9967,0.13722412677433124
