epoch,fallback_clean,effective_rows,group_T,group_A,group_V,group_TA,group_TV,group_AV,text_newly_lost,text_newly_lost_ratio,audio_newly_lost,audio_newly_lost_ratio,vision_newly_lost,vision_newly_lost_ratio
1,0,3395,1291,0,1249,0,855,0,15452,0.20098332509560105,0,0.0,14878,0.2048380212850908
2,0,3395,1353,0,1178,0,864,0,15757,0.2049504435368487,0,0.0,14089,0.19397519034047886
3,0,3395,1287,0,1217,0,891,0,15433,0.2007361931271299,0,0.0,14872,0.2047554142056641
4,0,3395,1319,0,1171,0,905,0,15925,0.20713561041596212,0,0.0,14131,0.19455343989646579
5,0,3395,1337,0,1207,0,851,0,15401,0.20031997086444162,0,0.0,14041,0.19331433370506518
6,0,3395,1247,0,1280,0,868,0,14650,0.19055175463697616,0,0.0,14889,0.2049894675973731
7,0,3395,1258,0,1243,0,894,0,15099,0.196391873260321,0,0.0,15158,0.20869301832500378
8,0,3395,1247,0,1252,0,896,0,14686,0.19102000468250047,0,0.0,14655,0.20176779149973154
9,0,3395,1280,0,1228,0,887,0,15399,0.2002939569730236,0,0.0,14411,0.19840843693637877
10,0,3395,1337,0,1201,0,857,0,15357,0.19974766525324522,0,0.0,14007,0.19284622692164718
11,0,3395,1321,0,1201,0,873,0,15685,0.20401394344580007,0,0.0,14347,0.19752729475582725
12,0,3395,1333,0,1198,0,864,0,15519,0.20185479045810462,0,0.0,14295,0.1968113667341291
13,0,3395,1309,0,1204,0,882,0,15352,0.1996826305247002,0,0.0,14523,0.19995043575234397
14,0,3395,1318,0,1196,0,881,0,15592,0.20280429749486226,0,0.0,14116,0.19434692219789904
15,0,3395,1297,0,1225,0,873,0,15545,0.20219297104653886,0,0.0,14463,0.1991243649580769
16,0,3395,1320,0,1195,0,880,0,15701,0.2042220545771442,0,0.0,14446,0.1988903115663679
17,0,3395,1341,0,1158,0,896,0,15994,0.2080330896698837,0,0.0,14199,0.1954896534633018
18,0,3395,1287,0,1187,0,921,0,15718,0.20444317265419734,0,0.0,14914,0.20533366376165105
19,0,3395,1395,0,1185,0,815,0,15277,0.19870710959652454,0,0.0,13489,0.18571448239780816
20,0,3395,1304,0,1251,0,840,0,15343,0.19956556801331912,0,0.0,14341,0.19744468767640053
21,0,3395,1315,0,1214,0,866,0,15282,0.1987721443250696,0,0.0,14560,0.20045984607547535
22,0,3395,1365,0,1197,0,833,0,15812,0.20566582555084414,0,0.0,13985,0.1925433342970826
23,0,3395,1319,0,1230,0,846,0,15699,0.20419604068572617,0,0.0,13973,0.1923781201382292
24,0,3395,1294,0,1235,0,866,0,15544,0.20217996410082983,0,0.0,14221,0.1957925460878664
25,0,3395,1363,0,1202,0,830,0,15309,0.19912333185921283,0,0.0,14391,0.1981330800049564
26,0,3395,1303,0,1213,0,879,0,15393,0.20021591529876953,0,0.0,14505,0.19970261451406385
27,0,3395,1272,0,1237,0,886,0,15345,0.19959158190473714,0,0.0,14598,0.2009830242451778
28,0,3395,1323,0,1222,0,850,0,15346,0.19960458885044613,0,0.0,14311,0.197031652279267
29,0,3395,1275,0,1249,0,871,0,15384,0.20009885278738845,0,0.0,14459,0.19906929357179243
30,0,3395,1289,0,1208,0,898,0,15729,0.20458624905699643,0,0.0,14649,0.2016851844203048
