modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.6112637362637363,0.5911681897153455,0.6551724137931034,0.44321329639889195,0.6751188589540412,0.6262192130088806,0.6103049856919075,0.01098901098901099,-0.016483516483516425,-0.019479910417384394,0.009532928466796875,-0.01802611140599153
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6277472527472527,0.6106481001327299,0.680089485458613,0.46524064171123,0.6866141732283465,0.616686224937439,0.6283310986360211,0.008241758241758242,0.0,0.0,-5.960464477539063e-08,1.5381220741517154e-09
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.625,0.6076300973190909,0.6770601336302895,0.46236559139784944,0.6834645669291338,0.6164690852165222,0.6273035693489509,0.009615384615384616,-0.0027472527472527375,-0.0030180028136389536,-0.00021719932556152344,-0.0010275277489480983
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.6112637362637363,0.5911681897153455,0.6551724137931034,0.44321329639889195,0.6751188589540412,0.6262192130088806,0.6103049856919075,0.01098901098901099,-0.016483516483516425,-0.019479910417384394,0.009532928466796875,-0.01802611140599153
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.614010989010989,0.5909061330524741,0.6594827586206896,0.43304843304843305,0.6801872074882995,0.6242238283157349,0.6095113947156737,0.01098901098901099,-0.013736263736263687,-0.019741967080255773,0.007537543773651123,-0.0188197023822253
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.625,0.6076300973190909,0.6770601336302895,0.46236559139784944,0.6834645669291338,0.6164690852165222,0.6273035693489509,0.009615384615384616,-0.0027472527472527375,-0.0030180028136389536,-0.00021719932556152344,-0.0010275277489480983
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5741758241758241,0.5575251096947681,0.5854700854700855,0.4420485175202156,0.6450567260940032,0.673395037651062,0.5371744382158969,0.013736263736263736,-0.0535714285714286,-0.05312299043796176,0.05670875310897827,-0.09115665888200208
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6277472527472527,0.6106481001327299,0.680089485458613,0.46524064171123,0.6866141732283465,0.616686224937439,0.6283310986360211,0.008241758241758242,0.0,0.0,-5.960464477539063e-08,1.5381220741517154e-09
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6263736263736264,0.609573491644032,0.672686230248307,0.47058823529411764,0.6854460093896714,0.61814284324646,0.6243786158513573,0.009615384615384616,-0.0013736263736263687,-0.0010746084886978924,0.0014565587043762207,-0.003952481246541684
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5741758241758241,0.5575251096947681,0.5854700854700855,0.4420485175202156,0.6450567260940032,0.673395037651062,0.5371744382158969,0.013736263736263736,-0.0535714285714286,-0.05312299043796176,0.05670875310897827,-0.09115665888200208
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5796703296703297,0.5605920357308721,0.592274678111588,0.4376731301939058,0.6518282988871225,0.6708667874336243,0.5345536044273582,0.01098901098901099,-0.04807692307692302,-0.050056064401857725,0.05418050289154053,-0.09377749267054081
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.6263736263736264,0.609573491644032,0.672686230248307,0.47058823529411764,0.6854460093896714,0.61814284324646,0.6243786158513573,0.009615384615384616,-0.0013736263736263687,-0.0010746084886978924,0.0014565587043762207,-0.003952481246541684
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5521978021978022,0.5359673214219285,0.5652173913043478,0.41909814323607425,0.6235864297253635,0.696560800075531,0.49993248826883935,0.012362637362637362,-0.0755494505494505,-0.07468077871080137,0.07987451553344727,-0.12839860882905968
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6277472527472527,0.6106481001327299,0.680089485458613,0.46524064171123,0.6866141732283465,0.616686224937439,0.6283310986360211,0.008241758241758242,0.0,0.0,-5.960464477539063e-08,1.5381220741517154e-09
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0.6167582417582418,0.5992762751953928,0.665158371040724,0.45454545454545453,0.678125,0.6208853125572205,0.6211476492175163,0.01510989010989011,-0.01098901098901095,-0.011371824937337016,0.004199028015136719,-0.007183447880382721
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5521978021978022,0.5359673214219285,0.5652173913043478,0.41909814323607425,0.6235864297253635,0.696560800075531,0.49993248826883935,0.012362637362637362,-0.0755494505494505,-0.07468077871080137,0.07987451553344727,-0.12839860882905968
