modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.6167582417582418,0.5865475652599451,0.6313559322033898,0.42813455657492355,0.700152207001522,0.5994453430175781,0.622910810734505,0.03159340659340659,-0.02335164835164827,-0.028362960912112878,0.01665574312210083,-0.018707210880165248
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6401098901098901,0.614910526172058,0.6637554585152838,0.46647230320699706,0.7145038167938931,0.5827895998954773,0.6416180225475581,0.01510989010989011,0.0,0.0,0.0,9.32887767035595e-10
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.6428571428571429,0.6164057392889352,0.6593406593406593,0.46647230320699706,0.723404255319149,0.5823962688446045,0.6417039165913232,0.016483516483516484,0.0027472527472528485,0.0014952131168771698,-0.00039333105087280273,8.589497665290047e-05
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.6167582417582418,0.5865475652599451,0.6313559322033898,0.42813455657492355,0.700152207001522,0.5994453430175781,0.622910810734505,0.03159340659340659,-0.02335164835164827,-0.028362960912112878,0.01665574312210083,-0.018707210880165248
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.6195054945054945,0.5896166141575643,0.6340425531914894,0.4316109422492401,0.7031963470319634,0.5997436046600342,0.622663604790937,0.03296703296703297,-0.02060439560439553,-0.025293912014493714,0.016954004764556885,-0.018954416823733333
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.6428571428571429,0.6164057392889352,0.6593406593406593,0.46647230320699706,0.723404255319149,0.5823962688446045,0.6417039165913232,0.016483516483516484,0.0027472527472528485,0.0014952131168771698,-0.00039333105087280273,8.589497665290047e-05
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5851648351648352,0.5565531943644237,0.6069868995633187,0.39296187683284456,0.669710806697108,0.6357674598693848,0.5431276483189524,0.020604395604395604,-0.05494505494505486,-0.05835733180763425,0.05297785997390747,-0.09849037329571786
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6401098901098901,0.614910526172058,0.6637554585152838,0.46647230320699706,0.7145038167938931,0.5827895998954773,0.6416180225475581,0.01510989010989011,0.0,0.0,0.0,9.32887767035595e-10
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6387362637362637,0.6113418781547008,0.6637362637362637,0.45427728613569324,0.716012084592145,0.5823699831962585,0.641527018027671,0.019230769230769232,-0.0013736263736263687,-0.0035686480173572344,-0.00041961669921875,-9.100358699931643e-05
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5851648351648352,0.5565531943644237,0.6069868995633187,0.39296187683284456,0.669710806697108,0.6357674598693848,0.5431276483189524,0.020604395604395604,-0.05494505494505486,-0.05835733180763425,0.05297785997390747,-0.09849037329571786
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5810439560439561,0.5524484052152,0.5969498910675382,0.39067055393586003,0.6697247706422018,0.6364735960960388,0.5422649821067663,0.02197802197802198,-0.05906593406593397,-0.06246212095685799,0.05368399620056152,-0.09935303950790397
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.6387362637362637,0.6113418781547008,0.6637362637362637,0.45427728613569324,0.716012084592145,0.5823699831962585,0.641527018027671,0.019230769230769232,-0.0013736263736263687,-0.0035686480173572344,-0.00041961669921875,-9.100358699931643e-05
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5686813186813187,0.5459446012986834,0.5656108597285068,0.40970350404312667,0.6625194401244168,0.6699122190475464,0.4868642603129454,0.013736263736263736,-0.0714285714285714,-0.0689659248733746,0.08712261915206909,-0.1547537613017249
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6401098901098901,0.614910526172058,0.6637554585152838,0.46647230320699706,0.7145038167938931,0.5827895998954773,0.6416180225475581,0.01510989010989011,0.0,0.0,0.0,9.32887767035595e-10
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0.6373626373626373,0.610000788124792,0.6607929515418502,0.45427728613569324,0.7149321266968326,0.5845561027526855,0.6391951596348432,0.02197802197802198,-0.0027472527472527375,-0.004909738047266021,0.001766502857208252,-0.0024228619798271067
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5686813186813187,0.5459446012986834,0.5656108597285068,0.40970350404312667,0.6625194401244168,0.6699122190475464,0.4868642603129454,0.013736263736263736,-0.0714285714285714,-0.0689659248733746,0.08712261915206909,-0.1547537613017249
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,0.5714285714285714,0.5474834375386862,0.5720720720720721,0.4088397790055249,0.6615384615384615,0.6722145676612854,0.4847904299908027,0.013736263736263736,-0.06868131868131866,-0.06742708863337177,0.0894249677658081,-0.1568275916238676
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0.6373626373626373,0.610000788124792,0.6607929515418502,0.45427728613569324,0.7149321266968326,0.5845561027526855,0.6391951596348432,0.02197802197802198,-0.0027472527472527375,-0.004909738047266021,0.001766502857208252,-0.0024228619798271067
