modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.6043956043956044,0.5950079391600837,0.636144578313253,0.4811320754716981,0.6677471636952999,0.6177014708518982,0.6081715919091536,0.028846153846153848,-0.016483516483516536,-0.018003006595094684,0.02043849229812622,-0.027638126433679133
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.6043956043956044,0.5950079391600837,0.636144578313253,0.4811320754716981,0.6677471636952999,0.6177014708518982,0.6081715919091536,0.028846153846153848,-0.016483516483516536,-0.018003006595094684,0.02043849229812622,-0.027638126433679133
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.6043956043956044,0.5950079391600837,0.636144578313253,0.4811320754716981,0.6677471636952999,0.6177014708518982,0.6081715919091536,0.028846153846153848,-0.016483516483516536,-0.018003006595094684,0.02043849229812622,-0.027638126433679133
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5837912087912088,0.5735533702806036,0.6,0.46919431279620855,0.6514657980456026,0.6522687077522278,0.532948354807577,0.027472527472527472,-0.03708791208791207,-0.039457575474574735,0.05500572919845581,-0.10286136353525577
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5837912087912088,0.5735533702806036,0.6,0.46919431279620855,0.6514657980456026,0.6522687077522278,0.532948354807577,0.027472527472527472,-0.03708791208791207,-0.039457575474574735,0.05500572919845581,-0.10286136353525577
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5837912087912088,0.5735533702806036,0.6,0.46919431279620855,0.6514657980456026,0.6522687077522278,0.532948354807577,0.027472527472527472,-0.03708791208791207,-0.039457575474574735,0.05500572919845581,-0.10286136353525577
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5604395604395604,0.5525083085596947,0.562962962962963,0.47058823529411764,0.6239737274220033,0.6811986565589905,0.47606760075735194,0.027472527472527472,-0.06043956043956045,-0.060502637195483655,0.0839356780052185,-0.1597421175854808
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5604395604395604,0.5525083085596947,0.562962962962963,0.47058823529411764,0.6239737274220033,0.6811986565589905,0.47606760075735194,0.027472527472527472,-0.06043956043956045,-0.060502637195483655,0.0839356780052185,-0.1597421175854808
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,0.5604395604395604,0.5525083085596947,0.562962962962963,0.47058823529411764,0.6239737274220033,0.6811986565589905,0.47606760075735194,0.027472527472527472,-0.06043956043956045,-0.060502637195483655,0.0839356780052185,-0.1597421175854808
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5947802197802198,0.5858568530860621,0.6403940886699507,0.4611764705882353,0.656,0.614544153213501,0.595055969125317,0.028846153846153848,-0.026098901098901117,-0.02715409266911628,0.017281174659729004,-0.04075374921751573
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.5947802197802198,0.5858568530860621,0.6403940886699507,0.4611764705882353,0.656,0.614544153213501,0.595055969125317,0.028846153846153848,-0.026098901098901117,-0.02715409266911628,0.017281174659729004,-0.04075374921751573
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,0.5947802197802198,0.5858568530860621,0.6403940886699507,0.4611764705882353,0.656,0.614544153213501,0.595055969125317,0.028846153846153848,-0.026098901098901117,-0.02715409266911628,0.017281174659729004,-0.04075374921751573
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
T,middle,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5728021978021978,0.5646507989854577,0.6075949367088608,0.45057471264367815,0.6357827476038339,0.6276891231536865,0.5572190648722074,0.019230769230769232,-0.04807692307692313,-0.04836014676972067,0.03042614459991455,-0.07859065347062533
A,middle,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
V,middle,0.3,728,5478,0.3284235928836993,0.3199110671936759,0.6208791208791209,0.6130109457551783,0.6730769230769231,0.491725768321513,0.6742301458670988,0.597262978553772,0.6358097193610385,0.01510989010989011,0.0,0.0,0.0,1.0182057419427792e-09
TA,middle,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5728021978021978,0.5646507989854577,0.6075949367088608,0.45057471264367815,0.6357827476038339,0.6276891231536865,0.5572190648722074,0.019230769230769232,-0.04807692307692313,-0.04836014676972067,0.03042614459991455,-0.07859065347062533
