epoch,fallback_clean,group_T,group_A,group_V,group_TA,group_TV,group_AV,text_newly_lost,text_newly_lost_ratio,audio_newly_lost,audio_newly_lost_ratio,vision_newly_lost,vision_newly_lost_ratio
1,0,850,831,879,273,291,271,10181,0.13242371426341668,10061,0.13097361261179166,10216,0.14065232057053956
2,0,878,853,823,273,286,282,10307,0.13406258942275176,10071,0.13110379212934636,9306,0.12812358019082234
3,0,825,841,862,274,288,305,9884,0.12856065138784112,10006,0.13025762526524076,10073,0.1386835185108697
4,0,875,809,831,298,298,284,10441,0.1358055201477589,10000,0.13017951755470794,9714,0.13374086159183843
5,0,888,836,840,289,262,280,10393,0.13518118675372648,9909,0.1289948839449601,9522,0.1310974350501838
6,0,803,851,894,304,284,259,9383,0.12204417158762779,10163,0.13230144369084967,10064,0.13855960789172966
7,0,821,815,886,301,281,291,9819,0.12771519991675553,10338,0.13457958524805708,10134,0.1395233571517079
8,0,795,864,862,312,296,266,9851,0.12813142217944382,10305,0.13414999284012655,9621,0.13246045186072447
9,0,828,842,869,288,275,293,9854,0.12817044301657085,10330,0.13447544163401332,9419,0.12967934685335866
10,0,891,810,852,283,311,248,10728,0.1395385135662444,9676,0.12596170118593542,9677,0.13323145126870706
11,0,860,846,837,297,263,292,10366,0.13482999921958325,10360,0.13486598018667742,9366,0.12894965098508943
12,0,847,886,826,254,299,283,9909,0.1288858250305663,9960,0.1296587994844891,9498,0.130767006732477
13,0,858,820,862,287,301,267,10313,0.1341406310970058,9744,0.1268469219053074,9864,0.1358060385775061
14,0,863,814,861,290,296,271,10639,0.1383808953981426,9800,0.12757592720361377,9368,0.12897718667823166
15,0,835,867,848,272,280,293,9903,0.12880778335631227,10334,0.1345275134410352,9409,0.1295416683876475
16,0,866,829,848,283,284,285,10299,0.13395853385707968,9830,0.1279664657562779,9575,0.13182713091845305
17,0,887,842,797,296,273,300,10374,0.13493405478525533,10371,0.1350091776559876,9297,0.1279996695716823
18,0,833,844,821,296,305,296,10548,0.13719726333862284,10405,0.13545178801567362,9802,0.13495243209009677
19,0,909,853,843,285,249,256,10191,0.13255378372050675,9678,0.12598773708944636,8853,0.12188674569410599
20,0,841,890,847,265,284,268,9888,0.12861267917067715,9826,0.12791439394925602,9476,0.1304641141079124
21,0,850,856,839,295,268,287,10072,0.13100595718113472,10058,0.13093455875652524,9808,0.1350350391695235
22,0,881,882,814,276,282,260,10493,0.13648188132462735,10220,0.13304346694091151,9095,0.1252185645643165
23,0,860,849,860,274,298,254,10699,0.1391613121406831,9898,0.12885168647564993,9567,0.1317169881458841
24,0,844,831,879,286,268,287,10158,0.13212455451210947,9879,0.12860434539229598,9573,0.13179959522531082
25,0,883,873,834,294,270,241,10406,0.1353502770479436,9991,0.1300623559889087,9865,0.1358198064240772
26,0,835,857,838,280,305,280,10391,0.13515517286230846,10289,0.133941705612039,9833,0.13537923533380145
27,0,830,819,894,288,295,269,10189,0.13252776982908873,9646,0.12557116263327128,10035,0.13816034034116723
28,0,852,869,846,278,284,266,10319,0.13421867277125984,10361,0.1348789981384329,9510,0.1309322208913304
29,0,850,816,885,274,281,289,10082,0.13113602663822482,9845,0.12816173503260997,9618,0.13241914832101112
30,0,822,881,825,294,250,323,9802,0.1274940818397024,10492,0.13658434981839956,9552,0.13151047044731734
