modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.6098901098901099,0.5795776874930864,0.6511627906976745,0.3965014577259475,0.6910688140556369,0.6268077492713928,0.6114177551123153,0.028846153846153848,-0.02335164835164827,-0.029313866666591415,0.01906406879425049,-0.024742632996863412
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6304945054945055,0.606780448421115,0.6713947990543735,0.4456824512534819,0.7032640949554896,0.608451247215271,0.6356490061416022,0.020604395604395604,-0.0027472527472527375,-0.0021111057385627685,0.0007075667381286621,-0.0005113819675764963
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.6318681318681318,0.6073155287916249,0.6729411764705883,0.4438202247191011,0.7051851851851851,0.607344388961792,0.637081451857079,0.023351648351648352,-0.0013736263736263687,-0.0015760253680529024,-0.0003992915153503418,0.0009210637479002415
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.6085164835164835,0.5782375120136031,0.6543778801843319,0.3941176470588235,0.6862170087976539,0.628698468208313,0.6088746346305802,0.03159340659340659,-0.02472527472527475,-0.0306540421460747,0.020954787731170654,-0.027285753478598518
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.6098901098901099,0.5794118471068901,0.6496519721577726,0.3965014577259475,0.6920821114369502,0.6259052157402039,0.6123053429341925,0.03159340659340659,-0.02335164835164827,-0.029479707052787685,0.018161535263061523,-0.023855045174986267
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.6304945054945055,0.6066277980690228,0.6761229314420804,0.4425770308123249,0.7011834319526628,0.6077522039413452,0.6366781619628239,0.020604395604395604,-0.0027472527472527375,-0.002263756090654989,8.52346420288086e-06,0.0005177738536451537
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5782967032967034,0.5475674965729123,0.5879629629629629,0.3870967741935484,0.6676427525622255,0.6589171290397644,0.5377929272424147,0.03296703296703297,-0.05494505494505486,-0.06132405758676551,0.05117344856262207,-0.09836746086676407
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.625,0.5984097897810213,0.668235294117647,0.42492917847025496,0.7020648967551623,0.610801100730896,0.6333885056370313,0.024725274725274724,-0.008241758241758212,-0.010481764378656444,0.003057420253753662,-0.0027718824721474355
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6291208791208791,0.60279545711035,0.6713615023474179,0.43304843304843305,0.7039764359351989,0.6092209815979004,0.6357607354869989,0.024725274725274724,-0.004120879120879106,-0.006096097049327787,0.0014773011207580566,-0.0003996526221798913
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5728021978021978,0.5437768388276777,0.585480093676815,0.3850574712643678,0.6607929515418502,0.6609109044075012,0.5321824887948485,0.027472527472527472,-0.06043956043956045,-0.06511471533200008,0.05316722393035889,-0.10397789931433021
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5769230769230769,0.5467443631671981,0.5833333333333334,0.3872832369942196,0.6696165191740413,0.6588449478149414,0.5381773926273059,0.03571428571428571,-0.05631868131868134,-0.06214719099247967,0.05110126733779907,-0.09798299548187284
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.625,0.599929464469279,0.6728971962616822,0.43059490084985835,0.6962962962962963,0.6116638779640198,0.6331565022581884,0.027472527472527472,-0.008241758241758212,-0.0089620896903988,0.003920197486877441,-0.0030038858509903177
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5851648351648352,0.5612042166389993,0.5893719806763285,0.42162162162162165,0.6726190476190477,0.6841374039649963,0.4891813502865195,0.020604395604395604,-0.04807692307692302,-0.04768733752067844,0.076393723487854,-0.14697903782265925
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6304945054945055,0.6043218746339983,0.6697892271662763,0.4350282485875706,0.7081481481481482,0.6133274435997009,0.6330157297417823,0.027472527472527472,-0.0027472527472527375,-0.004569679525679438,0.005583763122558594,-0.0031446583673964135
