epoch,fallback_clean,group_T,group_A,group_V,group_TA,group_TV,group_AV,text_newly_lost,text_newly_lost_ratio,audio_newly_lost,audio_newly_lost_ratio,vision_newly_lost,vision_newly_lost_ratio
1,0,876,857,831,277,272,282,10560,0.13735334668713092,10008,0.1302836611687517,9277,0.12772431264025993
2,0,893,830,828,288,271,285,10674,0.13883613849795792,10080,0.1312209536951456,9605,0.13224016631558658
3,0,803,842,865,302,279,304,9968,0.12965323482739782,10744,0.1398648736607782,9394,0.12933515068908072
4,0,836,869,847,260,271,312,10149,0.1320074920007284,10209,0.13290026947160133,9680,0.1332727548084204
5,0,841,804,896,291,278,285,10313,0.1341406310970058,10018,0.1304138406863064,9937,0.13681109137719769
6,0,830,869,844,280,284,288,9865,0.12831351941936994,10232,0.13319968236197716,9661,0.13301116572356916
7,0,843,845,844,294,295,274,10375,0.13494706173096432,9982,0.12994519442310948,9855,0.13568212795836604
8,0,888,862,823,288,269,265,10662,0.1386800551494498,10509,0.13680565499824257,9273,0.12766924125397547
9,0,858,864,818,258,274,323,10024,0.1303816237871023,10659,0.1387583477615632,9526,0.13115250643646828
10,0,866,882,834,263,271,279,10056,0.13079784604979058,10308,0.13418904669539294,9346,0.12867429405366707
11,0,815,854,892,274,293,267,9790,0.1273379984911943,10169,0.1323795514013825,9831,0.1353516996406592
12,0,848,853,809,283,300,302,10456,0.13600062433339402,10321,0.13435828006821407,9616,0.1323916126278689
13,0,835,837,876,274,283,290,10192,0.13256679066621577,10092,0.13137716911621125,9846,0.13555821733922596
14,0,840,812,882,292,276,293,9946,0.12936708202179964,9935,0.12933335069060234,9812,0.13509011055580797
15,0,862,828,863,275,291,276,9967,0.12964022788168883,9947,0.12948956611166798,9608,0.13228146985529993
16,0,855,884,809,306,272,269,10153,0.13205951978356442,10863,0.14141400991967923,8796,0.12110197843955227
17,0,835,862,855,278,289,276,9847,0.1280793943966078,9995,0.13011442779593058,9866,0.13583357427064832
18,0,829,856,866,304,284,256,10196,0.1326188184490518,10086,0.13129906140567843,9630,0.13258436247986452
19,0,855,835,871,258,277,299,9809,0.12758513045966546,10208,0.13288725151984587,9991,0.13755455509203807
20,0,829,904,821,283,289,269,10295,0.13390650607424365,10385,0.1351914289805642,9413,0.12959673977393196
21,0,899,864,788,270,275,299,10317,0.13419265887984183,10452,0.13606363174818073,9422,0.129720650393072
22,0,835,860,838,313,278,271,10204,0.13272287401472385,10487,0.13651926005962223,9354,0.128784436826236
23,0,859,818,859,295,283,281,10274,0.13363336021435446,10104,0.1315333845372769,9764,0.13442925392039431
24,0,823,857,839,301,273,302,10153,0.13205951978356442,10418,0.13562102138849474,10009,0.13780237633031817
25,0,888,818,819,280,275,315,10631,0.13827683983247055,10065,0.13102568441881354,9660,0.13299739787699805
26,0,872,886,793,287,273,284,9982,0.12983533206732395,10471,0.13631097283153468,9211,0.12681563476656615
27,0,838,857,834,315,269,282,10069,0.1309669363440077,10288,0.13392868766028354,9371,0.129018490217945
28,0,844,856,847,295,256,297,9851,0.12813142217944382,10409,0.1355038598226955,9176,0.12633376013657704
29,0,808,884,860,286,281,276,10070,0.1309799432897167,10775,0.1402684301651978,9468,0.13035397133534343
30,0,863,849,857,275,281,270,10125,0.13169532530371217,9983,0.12995821237486493,9447,0.13006484655734996
