modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5879120879120879,0.5550688399027696,0.6175115207373272,0.36627906976744184,0.6814159292035398,0.6100114583969116,0.6262668456021275,0.03571428571428571,-0.02472527472527475,-0.028364519769476737,0.00874096155166626,-0.01660263270131901
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6153846153846154,0.5874470345103547,0.6401869158878505,0.42406876790830944,0.6980854197349042,0.6020538210868835,0.6423326394726001,0.027472527472527472,0.0027472527472527375,0.004013674838108439,0.0007833242416381836,-0.0005368388308464311
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.6126373626373627,0.5815666342046896,0.6367924528301887,0.4093567251461988,0.6985507246376812,0.6016084551811218,0.6426615190204652,0.03708791208791209,0.0,-0.001866725467556729,0.00033795833587646484,-0.00020795928298134037
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.5892857142857143,0.5587339989759345,0.6175115207373272,0.37714285714285717,0.6815476190476191,0.6113207340240479,0.6250271935361494,0.03159340659340659,-0.02335164835164838,-0.024699360696311845,0.01005023717880249,-0.0178422847672971
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.5892857142857143,0.5572214534110991,0.6214953271028038,0.367816091954023,0.6823529411764706,0.6091539859771729,0.6260161093542085,0.03983516483516483,-0.02335164835164838,-0.026211906261147222,0.00788348913192749,-0.016853368949238057
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.6153846153846154,0.5901582633621079,0.6411483253588517,0.43213296398891965,0.6971935007385525,0.6023356914520264,0.6419702126257267,0.03159340659340659,0.0027472527472527375,0.006724903689861561,0.0010651946067810059,-0.0008992656777198071
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5714285714285714,0.5320680811032047,0.5865384615384616,0.3373493975903614,0.672316384180791,0.6475912928581238,0.553756937088669,0.03571428571428571,-0.041208791208791284,-0.051365278569041606,0.04632079601287842,-0.08911254121477752
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6195054945054945,0.5950503246462109,0.6435185185185185,0.4450704225352113,0.6965620328849028,0.6026316285133362,0.6452316409064756,0.03708791208791209,0.006868131868131844,0.011616964973964583,0.0013611316680908203,0.0023621626030290166
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6208791208791209,0.591148185130825,0.6394230769230769,0.4289855072463768,0.7050359712230215,0.6002565026283264,0.6449725542141848,0.04395604395604396,0.008241758241758212,0.007714825458578711,-0.0010139942169189453,0.002103075910738217
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5769230769230769,0.5466140216860697,0.5776699029126213,0.38873239436619716,0.6734397677793904,0.6481329798698425,0.5550967117920111,0.034340659340659344,-0.03571428571428581,-0.03681933798617665,0.04686248302459717,-0.0877727665114354
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5563186813186813,0.5198840347355199,0.5700245700245701,0.3333333333333333,0.6562942008486563,0.6485041379928589,0.5505806672561091,0.046703296703296704,-0.05631868131868134,-0.06354932493672638,0.047233641147613525,-0.09228881104733744
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.6208791208791209,0.6015057885915224,0.6524822695035462,0.46112600536193027,0.6909090909090909,0.6004641652107239,0.6476241238734833,0.034340659340659344,0.008241758241758212,0.018072428919276073,-0.0008063316345214844,0.004754645570036797
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5453296703296703,0.5007842864522563,0.5409429280397022,0.303951367781155,0.6574585635359116,0.6893965601921082,0.4804181567534643,0.03571428571428571,-0.0673076923076924,-0.08264907321999004,0.08812606334686279,-0.16245132154998226
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6208791208791209,0.6008685805572361,0.6544622425629291,0.45901639344262296,0.6891271056661562,0.6042613983154297,0.6477955962836902,0.03296703296703297,0.008241758241758212,0.017435220884989833,0.002990901470184326,0.004926117980243672
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0.625,0.5945740049574061,0.639225181598063,0.4297994269340974,0.7146974063400576,0.6000534892082214,0.644982049123653,0.03571428571428571,0.012362637362637319,0.01114064528515979,-0.0012170076370239258,0.0021125708202064386
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5480769230769231,0.5195717800133095,0.5459057071960298,0.37119113573407203,0.6416184971098265,0.6897065043449402,0.4859417221387875,0.04807692307692308,-0.06456043956043955,-0.0638615796589368,0.08843600749969482,-0.15692775616465904
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,0.5260989010989011,0.48177637187598155,0.5157894736842106,0.28823529411764703,0.6413043478260869,0.6952494382858276,0.46181721572373874,0.04395604395604396,-0.08653846153846156,-0.10165698779626475,0.09397894144058228,-0.1810522625797078
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0.6112637362637363,0.5972895300649548,0.6524822695035462,0.46115288220551376,0.6782334384858044,0.5974490642547607,0.6501637392741717,0.023351648351648352,-0.0013736263736263687,0.013856170392708478,-0.003821432590484619,0.007294260970725164
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5892857142857143,0.5504853172075793,0.6056338028169014,0.3532934131736527,0.6925287356321839,0.6199197173118591,0.6021430218928098,0.03296703296703297,-0.02335164835164838,-0.03294804246466698,0.01864922046661377,-0.04072645641063677
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6112637362637363,0.5845698554424456,0.6401869158878505,0.42528735632183906,0.6882352941176471,0.6006688475608826,0.6464869603304472,0.038461538461538464,-0.0013736263736263687,0.0011364957701992529,-0.000601649284362793,0.003617482027000629
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0.614010989010989,0.5847732582476488,0.6350710900473934,0.41954022988505746,0.6997084548104956,0.5996901988983154,0.6427250823960089,0.03571428571428571,0.0013736263736263687,0.0013398985754025095,-0.0015802979469299316,-0.0001443959074376444
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.5906593406593407,0.5557664396561349,0.6153846153846154,0.3668639053254438,0.6850507982583455,0.6203762292861938,0.6043893689918117,0.03296703296703297,-0.02197802197802201,-0.027666920016111374,0.019105732440948486,-0.038480109311634814
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,0.5892857142857143,0.5521546922080548,0.6128266033254157,0.35398230088495575,0.6896551724137931,0.6183067560195923,0.6005371725213932,0.027472527472527472,-0.02335164835164838,-0.0312786674641915,0.017036259174346924,-0.04233230578205338
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0.614010989010989,0.5897899651962428,0.6635730858468677,0.42016806722689076,0.6856287425149701,0.597626805305481,0.6482631958490126,0.028846153846153848,0.0013736263736263687,0.006356605523996528,-0.0036436915397644043,0.005393717545566057
