modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6112637362637363,0.5928483691713412,0.6535626535626535,0.4381443298969072,0.686838124054463,0.6266830563545227,0.6106192333529945,0.038461538461538464,-0.015109890109890056,-0.019797161766382798,0.011604547500610352,-0.025651647951084988
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6195054945054945,0.6053124635576488,0.6532663316582915,0.46715328467153283,0.6955177743431221,0.618057906627655,0.6352655673306821,0.04120879120879121,-0.006868131868131844,-0.00733306738007522,0.0029793977737426758,-0.001005313973397426
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0,0.6222527472527473,0.609441659381086,0.6565656565656566,0.4782608695652174,0.6934984520123839,0.6159335374832153,0.6349131393840931,0.03708791208791209,-0.004120879120879106,-0.0032038715566380382,0.0008550286293029785,-0.0013577419199863883
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,106,0.6085164835164835,0.5905428496573552,0.6454767726161369,0.44329896907216493,0.6828528072837633,0.6263210773468018,0.6093954659596449,0.042582417582417584,-0.017857142857142905,-0.022102681280368852,0.011242568492889404,-0.026875415344434606
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,5,0.6153846153846154,0.5969971355829217,0.6432160804020101,0.45408163265306123,0.6936936936936937,0.6252762079238892,0.6096855712673255,0.03983516483516483,-0.01098901098901095,-0.015648395354802336,0.010197699069976807,-0.026585310036754017
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0,0.6236263736263736,0.6095464616314136,0.6582278481012658,0.470873786407767,0.699537750385208,0.6191697120666504,0.6337135004808209,0.04395604395604396,-0.0027472527472527375,-0.0030990693063104313,0.004091203212738037,-0.002557380823258626
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5947802197802198,0.5754633885447119,0.6067961165048543,0.4509283819628647,0.6686656671664168,0.65986567735672,0.5386089349556122,0.03571428571428571,-0.03159340659340659,-0.037182142393012096,0.04478716850280762,-0.09766194634846725
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6167582417582418,0.6037133237747706,0.6448362720403022,0.47255369928400953,0.69375,0.6215614676475525,0.6346372470638537,0.04807692307692308,-0.009615384615384581,-0.008932207162953398,0.006482958793640137,-0.0016336342402257786
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0,0.6222527472527473,0.6089322098610025,0.6461538461538462,0.48095238095238096,0.6996904024767802,0.6190217137336731,0.6302215776224839,0.04120879120879121,-0.004120879120879106,-0.0037133210767215097,0.003943204879760742,-0.006049303681595619
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,287,0.5782967032967034,0.5615349748390036,0.5961538461538461,0.4381443298969072,0.6503067484662577,0.6629896759986877,0.5377396864849867,0.03708791208791209,-0.04807692307692302,-0.051110556098720394,0.04791116714477539,-0.09853119481909278
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,15,0.5906593406593407,0.5731191158580944,0.6036745406824147,0.4529262086513995,0.6627565982404692,0.6694660186767578,0.5167179000499303,0.04120879120879121,-0.0357142857142857,-0.03952641507962962,0.05438750982284546,-0.11955298125414915
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0,0.6236263736263736,0.6116305600319213,0.6478149100257069,0.48598130841121495,0.701095461658842,0.6251898407936096,0.6274458516155446,0.046703296703296704,-0.0027472527472527375,-0.0010149709058027145,0.010111331939697266,-0.008825029688534936
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.5521978021978022,0.5334341656850056,0.5741626794258373,0.4,0.6261398176291794,0.6927201747894287,0.47782877467171075,0.04807692307692308,-0.07417582417582413,-0.07921136525271844,0.07764166593551636,-0.15844210663236874
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6208791208791209,0.6092068288118182,0.6466165413533834,0.48699763593380613,0.694006309148265,0.6270557045936584,0.6315288587334993,0.04807692307692308,-0.005494505494505475,-0.0034387021259058015,0.011977195739746094,-0.004742022570580207
