modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5714285714285714,0.561974523574749,0.5714285714285714,0.462882096069869,0.6516129032258065,0.6292758584022522,0.5961819931821947,0.01510989010989011,-0.028846153846153855,-0.023453522039632024,0.0263708233833313,-0.041171268762387636
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.5824175824175825,0.5741628244983951,0.6077922077922078,0.4608501118568233,0.6538461538461539,0.6086039543151855,0.6330577564860094,0.027472527472527472,-0.017857142857142794,-0.011265221115985935,0.0056989192962646484,-0.004295505458572935
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.5961538461538461,0.5863463182390422,0.6210526315789474,0.4671201814058957,0.6708661417322834,0.6090875267982483,0.6305861222065946,0.028846153846153848,-0.004120879120879106,0.0009182726246611539,0.006182491779327393,-0.006767139737987704
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.5508241758241759,0.5458218613827043,0.5647668393782384,0.4476987447698745,0.625,0.632120668888092,0.5919700970964797,0.020604395604395604,-0.049450549450549386,-0.03960618423167672,0.029215633869171143,-0.045383164848102564
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.5494505494505495,0.544038597023511,0.5489130434782609,0.4621676891615542,0.6210350584307178,0.6336717009544373,0.5933824963335821,0.017857142857142856,-0.050824175824175755,-0.041389448590870015,0.030766665935516357,-0.04397076561100022
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.592032967032967,0.5863095132907568,0.6178861788617886,0.47761194029850745,0.6634304207119741,0.6204450130462646,0.6211104518309426,0.027472527472527472,-0.008241758241758212,0.0008814676763757578,0.01753997802734375,-0.016242810113639705
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5302197802197802,0.5214655666059661,0.5322997416020672,0.43015521064301554,0.6019417475728155,0.6626595854759216,0.5128387301370085,0.03021978021978022,-0.07005494505494503,-0.0639624790084149,0.05975455045700073,-0.12451453180757377
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.5865384615384616,0.5778821798542729,0.6149870801033591,0.4594594594594595,0.6592,0.6115953326225281,0.6339346395911586,0.02197802197802198,-0.013736263736263687,-0.0075458657601080725,0.008690297603607178,-0.003418622353423717
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.5989010989010989,0.585816956860176,0.6027397260273972,0.46952595936794583,0.6851851851851852,0.6145554184913635,0.6230121771553492,0.03021978021978022,-0.0013736263736263687,0.00038891124579498726,0.011650383472442627,-0.014341084789233127
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5096153846153846,0.508971052138611,0.5467625899280576,0.42916666666666664,0.5509838998211091,0.6842605471611023,0.4966211586147529,0.023351648351648352,-0.09065934065934067,-0.07645699347576995,0.0813555121421814,-0.14073210332982938
