modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5975274725274725,0.5828721536461474,0.5922077922077922,0.4752941176470588,0.6811145510835913,0.6265311241149902,0.6069790999137533,0.01510989010989011,-0.0357142857142857,-0.030867524703331317,0.014058947563171387,-0.023803161556188335
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6318681318681318,0.6129130573575018,0.6469135802469136,0.4831168831168831,0.7087087087087087,0.6128955483436584,0.6295315510402392,0.01510989010989011,-0.0013736263736263687,-0.0008266209919769452,0.0004233717918395996,-0.001250710429702484
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.635989010989011,0.6163343500158122,0.6486486486486487,0.4856396866840731,0.7147147147147147,0.6127328276634216,0.630780777254673,0.017857142857142856,0.0027472527472527375,0.0025946716663334257,0.0002606511116027832,-1.4842152686878052e-06
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.5879120879120879,0.5730134626904785,0.5876288659793815,0.45539906103286387,0.67601246105919,0.6269316077232361,0.6058050279057163,0.016483516483516484,-0.04532967032967028,-0.04072621565900025,0.014459431171417236,-0.02497723356422532
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.5961538461538461,0.5789078749774459,0.5854922279792746,0.46411483253588515,0.6871165644171779,0.626732349395752,0.606908597220701,0.016483516483516484,-0.03708791208791207,-0.034831803372032843,0.014260172843933105,-0.023873664249240645
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.6318681318681318,0.6123040577131525,0.6469135802469136,0.4804177545691906,0.7095808383233533,0.6129825115203857,0.6295786935782447,0.01510989010989011,-0.0013736263736263687,-0.0014356206363261848,0.0005103349685668945,-0.001203567891696955
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5714285714285714,0.5586940563930194,0.5804749340369393,0.4444444444444444,0.6511627906976745,0.6514573693275452,0.5377805543246482,0.013736263736263736,-0.061813186813186816,-0.055045621956459345,0.03898519277572632,-0.09300170714529343
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6291208791208791,0.6102842399720834,0.6504854368932039,0.47643979057591623,0.7039274924471299,0.614980936050415,0.6260563528809167,0.020604395604395604,-0.004120879120879106,-0.00345543837739537,0.0025087594985961914,-0.004725908589024996
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.635989010989011,0.6147955222676712,0.6469135802469136,0.48021108179419525,0.7172619047619048,0.6144825220108032,0.6289706678396026,0.020604395604395604,0.0027472527472527375,0.0010558439181924673,0.002010345458984375,-0.0018115936303390034
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5714285714285714,0.556654709859037,0.5639686684073107,0.4496487119437939,0.6563467492260062,0.6544890403747559,0.5336026117692909,0.017857142857142856,-0.061813186813186816,-0.057084968490441756,0.04201686382293701,-0.09717964970065074
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5673076923076923,0.5505077113587752,0.56,0.43498817966903075,0.6565349544072948,0.6516882181167603,0.5361096082204773,0.012362637362637362,-0.06593406593406592,-0.06323196699070355,0.039216041564941406,-0.09467265324946439
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.6291208791208791,0.6104567989316356,0.656934306569343,0.47368421052631576,0.7007518796992481,0.6171448826789856,0.6243530484278143,0.027472527472527472,-0.004120879120879106,-0.0032828794178431098,0.004672706127166748,-0.006429213042127402
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.554945054945055,0.5405181440259595,0.5138121546961326,0.4559139784946237,0.6518282988871225,0.6756013035774231,0.4865940028502241,0.01098901098901099,-0.07829670329670324,-0.07322153432351919,0.06312912702560425,-0.14418825861971757
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6222527472527473,0.6048297828252748,0.6601941747572816,0.4623376623376623,0.6919575113808801,0.6173914074897766,0.6254368445823227,0.023351648351648352,-0.01098901098901095,-0.008909895524203959,0.004919230937957764,-0.0053454168876189145
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0.6304945054945055,0.6086787551900192,0.6519607843137255,0.4627659574468085,0.7113095238095238,0.6161548495292664,0.6269921503726166,0.028846153846153848,-0.0027472527472527375,-0.005060923159459496,0.0036826729774475098,-0.0037901110973250773
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5508241758241759,0.5363553059892165,0.5068119891008175,0.45161290322580644,0.6506410256410257,0.6771455407142639,0.48431697209841607,0.019230769230769232,-0.08241758241758235,-0.07738437236026219,0.06467336416244507,-0.1464652893715256
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,0.5453296703296703,0.5268889072468937,0.4958217270194986,0.4326710816777042,0.6521739130434783,0.676604688167572,0.4841904756422557,0.009615384615384616,-0.08791208791208793,-0.08685077110258499,0.06413251161575317,-0.14659178582768595
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0.6181318681318682,0.5982595819121349,0.6520681265206812,0.4521276595744681,0.6905829596412556,0.6211788654327393,0.622119273567529,0.0260989010989011,-0.015109890109890056,-0.015480096437343827,0.00870668888092041,-0.0086629879024126
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5714285714285714,0.5541609632213831,0.5797872340425532,0.4180522565320665,0.6646433990895296,0.6282021403312683,0.5905227580614002,0.02197802197802198,-0.061813186813186816,-0.05957871512809565,0.015729963779449463,-0.04025950340854145
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6346153846153846,0.6152307066145185,0.6535626535626535,0.4804177545691906,0.7117117117117117,0.6102874279022217,0.632495954012713,0.016483516483516484,0.0013736263736263687,0.0014910282650397733,-0.002184748649597168,0.0017136925427713168
