modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6277472527472527,0.5999687208590739,0.6479481641468683,0.4424778761061947,0.709480122324159,0.6356629133224487,0.606383120516886,0.03021978021978022,-0.020604395604395642,-0.025894340487438217,0.010558843612670898,-0.02347903095435655
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6510989010989011,0.62798833819242,0.6857142857142857,0.4839650145772595,0.7142857142857143,0.6270677447319031,0.6283371952810272,0.03021978021978022,0.0027472527472527375,0.0021252768459077975,0.001963675022125244,-0.0015249561902154207
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0,0.6483516483516484,0.6233861778944884,0.6843267108167771,0.471976401179941,0.713855421686747,0.6268291473388672,0.6296233502388923,0.03021978021978022,0.0,-0.0024768834520237926,0.0017250776290893555,-0.00023880123235031636
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,106,0.6304945054945055,0.601867313825656,0.6523605150214592,0.4417910447761194,0.7114503816793893,0.6360988616943359,0.6056824528785154,0.028846153846153848,-0.017857142857142905,-0.023995747520856203,0.010994791984558105,-0.024179698592727172
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,5,0.6318681318681318,0.6029629738742969,0.6523605150214592,0.4431137724550898,0.7134146341463414,0.6369255185127258,0.6063650671176398,0.0260989010989011,-0.016483516483516536,-0.02290008747221528,0.011821448802947998,-0.02349708435360276
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0,0.6510989010989011,0.6263255979892774,0.6828193832599119,0.47928994082840237,0.7168674698795181,0.628975510597229,0.6278326072504923,0.03296703296703297,0.0027472527472527375,0.0004625366427652988,0.003871440887451172,-0.002029544220750301
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5906593406593407,0.5649342356470926,0.6170212765957447,0.41420118343195267,0.6635802469135802,0.6738513708114624,0.5312913194605962,0.04120879120879121,-0.05769230769230771,-0.0609288256994196,0.04874730110168457,-0.09857083201064643
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6442307692307693,0.6196840866524124,0.6857142857142857,0.46745562130177515,0.7058823529411765,0.6283469796180725,0.6269084502161567,0.023351648351648352,-0.004120879120879106,-0.006178974694099781,0.0032429099082946777,-0.002953701255085872
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0,0.6497252747252747,0.6260148034265872,0.6858407079646017,0.478134110787172,0.7140695915279879,0.6283192038536072,0.6269469357104888,0.03021978021978022,0.0013736263736263687,0.00015174208007506795,0.0032151341438293457,-0.00291521576075382
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,287,0.5892857142857143,0.560979285931013,0.6118143459915611,0.4024024024024024,0.6687211093990755,0.6791926026344299,0.5269171465414478,0.03708791208791209,-0.05906593406593408,-0.06488377541549917,0.0540885329246521,-0.10294500492979475
