modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6085164835164835,0.5796083031474856,0.6210268948655256,0.41208791208791207,0.705710102489019,0.6243407726287842,0.5928198518935,0.04395604395604396,-0.027472527472527486,-0.029822984242495965,-0.006432652473449707,-0.021932882845637658
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6387362637362637,0.6107362057916194,0.639386189258312,0.47293447293447294,0.7198879551820728,0.6316307187080383,0.6158329760828511,0.04120879120879121,0.0027472527472527375,0.0013049184016378224,0.0008572936058044434,0.0010802413437135394
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0,0.6291208791208791,0.5999955822014259,0.6412213740458015,0.4482758620689655,0.7104895104895105,0.6310021281242371,0.6153943976393689,0.04120879120879121,-0.006868131868131844,-0.009435705188555632,0.00022870302200317383,0.0006416629002312657
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,106,0.6126373626373627,0.581958151120804,0.6210268948655256,0.4157303370786517,0.7091172214182344,0.623619019985199,0.5942828593336407,0.04945054945054945,-0.02335164835164827,-0.027473136269177578,-0.007154405117034912,-0.02046987540549694
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,5,0.6071428571428571,0.5772313650354232,0.6213592233009708,0.40668523676880225,0.7036496350364964,0.6233301758766174,0.5936915688969656,0.050824175824175824,-0.028846153846153855,-0.032199922354558375,-0.007443249225616455,-0.02106116584217199
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0,0.635989010989011,0.6076075105030093,0.6412213740458015,0.46551724137931033,0.7160839160839161,0.6311989426612854,0.6168482789917349,0.04395604395604396,0.0,-0.001823776886972217,0.00042551755905151367,0.002095544252597281
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5782967032967034,0.5487634368994309,0.5761904761904761,0.39660056657223797,0.6734992679355783,0.6579427123069763,0.5206002225464967,0.050824175824175824,-0.0576923076923076,-0.06066785049055068,0.02716928720474243,-0.09415251219264087
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6373626373626373,0.6107219399637871,0.6430379746835443,0.47564469914040114,0.7134831460674157,0.6345991492271423,0.6158480757397083,0.04807692307692308,0.0013736263736263687,0.0012906525738055619,0.0038257241249084473,0.0010953410005707376
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0,0.6304945054945055,0.6023354079762161,0.649746192893401,0.4495677233429395,0.7076923076923077,0.6360423564910889,0.612156134510674,0.04532967032967033,-0.005494505494505475,-0.007095879413765438,0.0052689313888549805,-0.0025966002284636414
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,287,0.5824175824175825,0.5499753727032136,0.5653206650831354,0.40350877192982454,0.6810966810966811,0.6611007452011108,0.5218300571760605,0.05631868131868132,-0.05357142857142849,-0.05945591468676792,0.030327320098876953,-0.09292267756307715
