epoch,fallback_clean,effective_rows,group_T,group_A,group_V,group_TA,group_TV,group_AV,text_newly_lost,text_newly_lost_ratio,audio_newly_lost,audio_newly_lost_ratio,vision_newly_lost,vision_newly_lost_ratio
1,0,3395,894,916,768,271,280,266,10372,0.13490804089383732,10385,0.1351914289805642,9267,0.12758663417454877
2,0,3395,858,899,779,274,290,295,10088,0.13121406831247887,10681,0.13904474270018355,9377,0.1291010972973717
3,0,3395,857,890,800,268,266,314,9767,0.1270388387398871,10237,0.13326477212075452,9398,0.12939022207536519
4,0,3395,875,860,849,280,277,254,10268,0.13355531854010042,10155,0.1321973000768059,9876,0.13597125273635952
5,0,3395,878,851,824,291,287,264,10297,0.13393251996566166,9991,0.1300623559889087,9381,0.1291561686836562
6,0,3395,822,857,795,303,326,292,10267,0.1335423115943914,10337,0.1345665672963016,9703,0.13358941527955612
7,0,3395,811,889,823,276,304,292,9857,0.12820946385369789,10563,0.137508624393038,9703,0.13358941527955612
8,0,3395,900,850,788,283,276,298,10471,0.13619572851902917,10132,0.13189788718643009,9186,0.1264714386022882
9,0,3395,839,911,806,295,270,274,9982,0.12983533206732395,10454,0.13608966765169167,9454,0.1301612214833478
10,0,3395,862,892,814,286,271,270,10261,0.13346426992013735,10470,0.13629795487977922,9583,0.13193727369102198
11,0,3395,843,865,809,294,297,287,10268,0.13355531854010042,10024,0.13049194839683925,9703,0.13358941527955612
12,0,3395,852,844,840,260,280,319,9965,0.12961421399027082,10089,0.13133811526094485,10227,0.14080376688282187
13,0,3395,900,831,816,289,271,288,10279,0.1336983949428995,10221,0.133056484892667,9227,0.12703592031170405
14,0,3395,884,833,849,274,288,267,10336,0.134439790848313,10086,0.13129906140567843,9974,0.13732050170032906
15,0,3395,875,846,833,287,273,281,10723,0.13947347883769934,9840,0.1280966452738326,9488,0.1306293282667658
16,0,3395,848,822,841,285,302,297,10210,0.13280091568897792,9989,0.13003632008539776,10182,0.14018421378712156
17,0,3395,843,866,819,322,272,273,10225,0.13299601987461304,10278,0.1337985081427288,9363,0.12890834744537608
18,0,3395,855,848,834,288,267,303,10289,0.1338284643999896,10185,0.13258783862947005,9553,0.13152423829388846
19,0,3395,861,870,817,272,278,297,9626,0.12520485939491688,10269,0.1336813465769296,9866,0.13583357427064832
20,0,3395,885,843,786,303,291,287,10320,0.13423167971696887,10301,0.13409792103310464,9881,0.1360400919692151
21,0,3395,902,848,840,272,267,266,10324,0.1342837074998049,10014,0.13036176887928452,9750,0.13423650406839865
22,0,3395,893,837,780,294,282,309,10214,0.13285294347181395,10179,0.13250973091893722,9587,0.13199234507730645
23,0,3395,871,865,777,304,316,262,10739,0.13968158996904348,10332,0.13450147753752426,9297,0.1279996695716823
24,0,3395,889,851,822,288,265,280,9929,0.1291459639447465,10039,0.1306872176731713,9334,0.12850907989481367
25,0,3395,844,902,820,293,271,265,9961,0.12956218620743476,10555,0.13740448077899423,9466,0.1303264356422012
26,0,3395,872,831,813,280,297,302,10415,0.1354673395593247,9942,0.12942447635289064,10289,0.14165737337023115
27,0,3395,871,880,796,275,301,272,10491,0.13645586743320934,10152,0.13215824622153952,9541,0.13135902413503503
28,0,3395,865,864,786,321,262,297,10318,0.13420566582555085,10603,0.13802934246325682,9208,0.1267743312268528
29,0,3395,858,845,810,270,317,295,10513,0.13674202023880752,10224,0.1330955387479334,10168,0.1399914639351259
30,0,3395,848,860,795,293,290,309,9971,0.12969225566452486,10484,0.1364802062043558,9982,0.137430644472898
