modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6126373626373627,0.5893324240253784,0.6272727272727273,0.43902439024390244,0.7017001545595054,0.6219350695610046,0.6059082334954007,0.03159340659340659,-0.02060439560439553,-0.028716573759021147,0.011974215507507324,-0.027988174049249137
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6332417582417582,0.6166497172696324,0.6559633027522935,0.4895833333333333,0.7044025157232704,0.6119087934494019,0.6339658982975095,0.024725274725274724,0.0,-0.0013992805147672316,0.001947939395904541,6.949075285966888e-05
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0,0.6346153846153846,0.6190859831412827,0.663594470046083,0.4935064935064935,0.7001569858712716,0.6081966161727905,0.6350284766669354,0.028846153846153848,0.0013736263736263687,0.0010369853568831244,-0.0017642378807067871,0.0011320691222855839
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,106,0.6043956043956044,0.5786777200686695,0.6174496644295302,0.42105263157894735,0.6975308641975309,0.6252067685127258,0.6050809868317791,0.034340659340659344,-0.028846153846153855,-0.039371277715730124,0.015245914459228516,-0.028815420712870687
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,5,0.6057692307692307,0.5806923504736021,0.6216216216216216,0.4207650273224044,0.6996904024767802,0.6183893084526062,0.607922688473832,0.03159340659340659,-0.027472527472527486,-0.037356647310797464,0.008428454399108887,-0.025973719070817802
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0,0.635989010989011,0.6189677648121822,0.6621004566210046,0.48947368421052634,0.7053291536050157,0.609919548034668,0.6354028850372728,0.023351648351648352,0.0027472527472527375,0.0009187670277825966,-4.13060188293457e-05,0.001506477492623004
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5824175824175825,0.5585617319465856,0.6052631578947368,0.414985590778098,0.655436447166922,0.6692351698875427,0.5287440640965684,0.03708791208791209,-0.050824175824175755,-0.05948726583781394,0.05927431583404541,-0.10515234344808144
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6332417582417582,0.6166147605058502,0.6543778801843319,0.49343832020997375,0.7020280811232449,0.6139841675758362,0.6321247031821456,0.023351648351648352,0.0,-0.0014342372785494106,0.004023313522338867,-0.0017717043625041784
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0,0.6401098901098901,0.6240212055367778,0.6605504587155964,0.5052631578947369,0.70625,0.6103465557098389,0.6347513357168538,0.03159340659340659,0.006868131868131844,0.005972207752378167,0.00038570165634155273,0.0008549281722040059
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,287,0.5824175824175825,0.5594801339126266,0.5995623632385121,0.42045454545454547,0.6584234930448223,0.6759085655212402,0.523030148911318,0.028846153846153848,-0.050824175824175755,-0.05856886387177296,0.06594771146774292,-0.11086625863333177
