modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6043956043956044,0.5806048347037491,0.6224256292906178,0.43454038997214484,0.6848484848484848,0.6342701315879822,0.596523353208573,0.054945054945054944,-0.026098901098901117,-0.0320069284637462,0.021489083766937256,-0.02915275548555829
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6291208791208791,0.6106723285963218,0.6558139534883721,0.4810810810810811,0.6951219512195121,0.6152135729789734,0.6249525476715821,0.04395604395604396,-0.0013736263736263687,-0.001939434571173515,0.002432525157928467,-0.0007235610225491129
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0,0.6277472527472527,0.6088985650964928,0.6605080831408776,0.47411444141689374,0.6920731707317073,0.6138951182365417,0.6242263353733319,0.04120879120879121,-0.0027472527472527375,-0.003713198071002566,0.0011140704154968262,-0.001449773320799319
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,106,0.6085164835164835,0.5851457450424982,0.628175519630485,0.4425770308123249,0.6846846846846847,0.6372165083885193,0.5967176155768893,0.061813186813186816,-0.02197802197802201,-0.02746601812499716,0.024435460567474365,-0.028958493117241968
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,5,0.603021978021978,0.5780393456808427,0.6210045662100456,0.4293785310734463,0.6837349397590361,0.6343755125999451,0.5956021587540618,0.054945054945054944,-0.027472527472527486,-0.03457241748665263,0.021594464778900146,-0.03007394994006951
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0,0.6291208791208791,0.6098573234808499,0.6604651162790698,0.47411444141689374,0.6949924127465857,0.6176016926765442,0.622801096798678,0.04395604395604396,-0.0013736263736263687,-0.00275443968664546,0.004820644855499268,-0.00287501189545325
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5769230769230769,0.5534642931188958,0.5848214285714286,0.4180790960451977,0.6574923547400612,0.6694376468658447,0.5229011436332159,0.0521978021978022,-0.0535714285714286,-0.05914747004859955,0.056656599044799805,-0.10277496506091532
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6291208791208791,0.6110206140705569,0.6558139534883721,0.48633879781420764,0.6909090909090909,0.6188808679580688,0.6215305503700923,0.04807692307692308,-0.0013736263736263687,-0.0015911490969384712,0.006099820137023926,-0.004145558324038956
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0,0.6346153846153846,0.6152549555562618,0.6635730858468677,0.4821917808219178,0.7,0.6142482757568359,0.6232398369878348,0.038461538461538464,0.004120879120879106,0.0026431923887664244,0.0014672279357910156,-0.0024362717062964556
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,287,0.5741758241758241,0.5460433724195711,0.5853658536585366,0.3941176470588235,0.6586466165413534,0.6750044226646423,0.5205190244163508,0.061813186813186816,-0.05631868131868134,-0.0665683907479242,0.06222337484359741,-0.10515708427778048
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,15,0.5782967032967034,0.5514135117157679,0.5861297539149888,0.4034582132564842,0.6646525679758308,0.6686072945594788,0.5213743464093823,0.0521978021978022,-0.05219780219780212,-0.061198251451727415,0.05582624673843384,-0.10430176228474897
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0,0.6346153846153846,0.6144038186040377,0.6604651162790698,0.481994459833795,0.7007518796992481,0.6210401058197021,0.6188000375327672,0.042582417582417584,0.004120879120879106,0.0017920554365423724,0.008259057998657227,-0.006876071161364017
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.5563186813186813,0.5344986157403354,0.5682326621923938,0.40336134453781514,0.6319018404907976,0.6953853368759155,0.4760753674633031,0.06868131868131869,-0.07417582417582413,-0.07811314742715991,0.0826042890548706,-0.14960074123082817
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6236263736263736,0.6056032834352797,0.651270207852194,0.47956403269754766,0.6859756097560976,0.6275084018707275,0.6150140815417264,0.04120879120879121,-0.006868131868131844,-0.007008479732215633,0.014727354049682617,-0.01066202715240483
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0,0.6373626373626373,0.6182791856598356,0.6635730858468677,0.4903581267217631,0.7009063444108762,0.6125625371932983,0.6241047404741602,0.03571428571428571,0.006868131868131844,0.005667422492340313,-0.00021851062774658203,-0.0015713682199710588
