epoch,fallback_clean,effective_rows,two_block_rows,group_T,group_A,group_V,group_TA,group_TV,group_AV,text_newly_lost,text_newly_lost_ratio,audio_newly_lost,audio_newly_lost_ratio,vision_newly_lost,vision_newly_lost_ratio
1,0,3395,1715,577,575,530,577,553,583,14522,0.18888686558622303,14664,0.19089524454222373,13582,0.18699489212892212
2,0,3395,1669,553,589,518,558,620,557,14807,0.1925938451132905,15034,0.1957118866917479,14065,0.193644762022772
3,0,3395,1629,582,562,516,602,575,558,14886,0.19362139382430218,14944,0.19454027103375554,12741,0.17541613316261204
4,0,3395,1659,575,591,536,592,541,560,14360,0.18677974038136363,14848,0.19329054766523035,13439,0.18502609006925227
5,0,3395,1699,588,544,544,563,571,585,14941,0.19433677583829764,14276,0.18584427926110106,14050,0.19343824432420526
6,0,3395,1665,556,594,564,569,555,557,14432,0.18771624047241225,14646,0.19066092141062524,13635,0.18772458799719136
7,0,3395,1654,571,543,575,571,554,581,14547,0.18921203922894825,14625,0.19038754442376035,13699,0.1886057301777429
8,0,3395,1682,585,592,545,573,573,527,14895,0.19373845633568326,14257,0.1855969381777471,13539,0.18640287472636405
9,0,3395,1685,577,563,550,544,580,581,15079,0.19613173434614084,14757,0.19210591405548252,14005,0.19281869122850495
10,0,3395,1714,584,582,510,541,586,592,14459,0.1880674280065555,14732,0.19178046526159573,13747,0.18926658681315656
11,0,3395,1698,569,573,542,573,594,544,14476,0.18828854608360865,14475,0.18843485166043974,13790,0.18985860421571463
12,0,3395,1644,574,555,538,565,554,609,14801,0.19251580343903646,14799,0.19265266802921227,13930,0.19178610273567112
13,0,3395,1658,569,548,535,599,561,583,14980,0.194844046720949,14546,0.18935912623507817,13861,0.190836121322264
14,0,3395,1640,541,564,544,579,607,560,14818,0.1927369215160896,14337,0.18663837431818478,14079,0.19383751187476767
15,0,3395,1665,514,573,524,621,610,553,14672,0.19083790744257434,15172,0.1975083640340029,13990,0.19261217352993817
16,0,3395,1662,605,573,521,575,565,556,14859,0.19327020629015895,14433,0.18788809768670997,13636,0.18773835584376247
17,0,3395,1659,529,572,582,584,595,533,14331,0.1864025389558024,14405,0.18752359503755678,13693,0.1885231230983162
18,0,3395,1676,573,580,545,553,569,575,14271,0.18562212221326188,14808,0.19276982959501152,13633,0.18769705230404912
19,0,3395,1648,578,578,535,575,570,559,14875,0.1934783174215031,14332,0.18657328455940742,13232,0.18217614582903088
20,0,3395,1667,562,562,538,547,572,614,14624,0.19021357404854192,14739,0.19187159092388403,14184,0.19528313576473505
21,0,3395,1664,567,567,526,572,559,604,14893,0.19371244244426525,15152,0.19724800499889347,13800,0.1899962826814258
22,0,3395,1664,597,566,547,566,569,550,14465,0.18814546968080956,14418,0.1876928284103779,13292,0.18300221662329794
23,0,3395,1592,562,573,559,597,522,582,14343,0.1865586223043105,15094,0.19649296379707618,13567,0.18678837443035534
24,0,3395,1650,548,579,532,604,582,550,14815,0.19269790067896256,14761,0.1921579858625044,13552,0.1865818567317886
25,0,3395,1662,531,550,518,624,581,591,14720,0.19146224083660676,14790,0.19253550646341305,13667,0.18816515908746714
26,0,3395,1723,555,548,561,589,572,570,14310,0.18612939309591323,14934,0.19441009151620084,14116,0.19434692219789904
27,0,3395,1704,589,578,507,566,597,558,14981,0.194857053666658,14750,0.19201478839319422,13592,0.18713257059463329
28,0,3395,1665,551,574,560,567,573,570,14732,0.19161832418511485,14923,0.19426689404689065,14177,0.1951867608387372
29,0,3395,1671,593,566,555,584,535,562,14397,0.18726099737259697,14615,0.19025736490620565,13299,0.18309859154929578
30,0,3395,1703,565,569,538,590,571,562,14345,0.18658463619572851,14657,0.19080411887993542,13708,0.18872964079688295
