modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6318681318681318,0.6078147582446459,0.6610169491525424,0.45930232558139533,0.703125,0.638561487197876,0.61108871640222,0.0260989010989011,-0.0027472527472527375,-0.006966424581610342,0.007937371730804443,-0.019108131054471622
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6414835164835165,0.6199027106007949,0.673773987206823,0.4772727272727273,0.7086614173228346,0.6320961117744446,0.629243638199396,0.023351648351648352,0.006868131868131955,0.00512152777453867,0.0014719963073730469,-0.0009532092572955841
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0,0.6346153846153846,0.6133600032676868,0.6695095948827292,0.4702549575070821,0.7003154574132492,0.6339414119720459,0.6291377940907101,0.023351648351648352,0.0,-0.001421179558569463,0.0033172965049743652,-0.0010590533659814438
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,106,0.6332417582417582,0.6090183658276233,0.6610169491525424,0.4619883040935672,0.7040498442367601,0.6382655501365662,0.610266682945495,0.0260989010989011,-0.0013736263736263687,-0.0057628169986330136,0.007641434669494629,-0.019930164511196558
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,5,0.625,0.5984797886072175,0.6497890295358649,0.4437869822485207,0.7018633540372671,0.6411823034286499,0.6095254715361955,0.024725274725274724,-0.009615384615384581,-0.016301394219038756,0.01055818796157837,-0.02067137592049606
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0,0.6414835164835165,0.6199027106007949,0.673773987206823,0.4772727272727273,0.7086614173228346,0.6351406574249268,0.6281340050797175,0.023351648351648352,0.006868131868131955,0.00512152777453867,0.004516541957855225,-0.0020628423769740722
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5934065934065934,0.5687972738625446,0.6144329896907217,0.42105263157894735,0.670906200317965,0.68092942237854,0.5353548205198599,0.03571428571428571,-0.04120879120879117,-0.04598390896371163,0.050305306911468506,-0.09484202693683164
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6414835164835165,0.6193211131142166,0.6752136752136753,0.4742857142857143,0.7084639498432602,0.6328763365745544,0.6274765436149916,0.024725274725274724,0.006868131868131955,0.004539930287960292,0.00225222110748291,-0.002720303841699967
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0,0.6373626373626373,0.6169999687991439,0.6709401709401709,0.47752808988764045,0.7025316455696202,0.6375100612640381,0.6248298875612772,0.028846153846153848,0.0027472527472527375,0.0022187859728876047,0.006885945796966553,-0.005366959895414358
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,287,0.5947802197802198,0.5667669470209712,0.6134969325153374,0.40963855421686746,0.6771653543307087,0.6840848922729492,0.5301154891189365,0.03571428571428571,-0.039835164835164805,-0.04801423580528508,0.053460776805877686,-0.10008135833775511
