modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6043956043956044,0.577681533333701,0.6341463414634146,0.4088397790055249,0.6900584795321637,0.6211559772491455,0.6012879465541398,0.03296703296703297,-0.02335164835164838,-0.02893137185391681,0.019223034381866455,-0.026860951284571333
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6277472527472527,0.6064153767379574,0.6401985111662531,0.4708994708994709,0.7081481481481482,0.6011581420898438,0.6281327638498401,0.027472527472527472,0.0,-0.00019752844966036687,-0.0007748007774353027,-1.613398887101436e-05
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0,0.6318681318681318,0.6110523803319171,0.6469135802469136,0.47493403693931396,0.7113095238095238,0.6018199920654297,0.626557401255042,0.024725274725274724,0.004120879120879106,0.004439475144299321,-0.00011295080184936523,-0.001591496583669083
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,106,0.6057692307692307,0.577734009247209,0.6274509803921569,0.4099722991689751,0.6957787481804949,0.6232988834381104,0.6012535954064961,0.042582417582417584,-0.02197802197802201,-0.028878895940408822,0.0213659405708313,-0.02689530243221494
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,5,0.6002747252747253,0.571589266682707,0.6292682926829268,0.3955431754874652,0.6899563318777293,0.6206365823745728,0.6001244455704756,0.034340659340659344,-0.027472527472527486,-0.03502363850491075,0.0187036395072937,-0.028024452268235467
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0,0.6277472527472527,0.6066327018284907,0.6368159203980099,0.47493403693931396,0.7081481481481482,0.6023366451263428,0.6260544835531632,0.03159340659340659,0.0,1.9796640872926652e-05,0.0004037022590637207,-0.0020944142855479075
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5673076923076923,0.5367532202599522,0.5789473684210527,0.37142857142857144,0.6598837209302325,0.6545867919921875,0.5230115072024929,0.042582417582417584,-0.06043956043956045,-0.06985968492766559,0.05265384912490845,-0.10513739063621819
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6277472527472527,0.6057116534234183,0.6334164588528678,0.47593582887700536,0.7077826725403817,0.6051464080810547,0.6242535306867588,0.028846153846153848,0.0,-0.0009012517641995288,0.0032134652137756348,-0.003895367151952267
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0,0.6318681318681318,0.6095954570181376,0.6486486486486487,0.4702702702702703,0.7098674521354934,0.6025693416595459,0.6261409575391916,0.024725274725274724,0.004120879120879106,0.002982551830519764,0.0006363987922668457,-0.0020079402995194506
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,287,0.5659340659340659,0.5328456934038098,0.5714285714285714,0.3652173913043478,0.66189111747851,0.6592535972595215,0.518449646086571,0.046703296703296704,-0.061813186813186816,-0.07376721178380796,0.05732065439224243,-0.10969925175214013
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,15,0.570054945054945,0.5366772002469943,0.5700483091787439,0.3742690058479532,0.6657142857142857,0.6530902981758118,0.5234876302874906,0.03571428571428571,-0.05769230769230771,-0.06993570494062351,0.051157355308532715,-0.10466126755122052
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0,0.6304945054945055,0.6071233760219689,0.6469135802469136,0.46703296703296704,0.7074235807860262,0.6059768795967102,0.6226715391269865,0.03021978021978022,0.0027472527472527375,0.0005104708343510733,0.004043936729431152,-0.005477358711724611
