epoch,fallback_clean,effective_rows,group_T,group_A,group_V,group_TA,group_TV,group_AV,text_newly_lost,text_newly_lost_ratio,audio_newly_lost,audio_newly_lost_ratio,vision_newly_lost,vision_newly_lost_ratio
1,0,3395,898,871,786,284,274,282,10742,0.1397206108061705,10140,0.13200203080047385,9280,0.12776561617997328
2,0,3395,900,848,781,298,278,290,10797,0.14043599282016597,10214,0.1329653592303787,9635,0.1326532017127201
3,0,3395,818,855,821,309,287,305,10163,0.13218958924065452,10874,0.14155720738898941,9416,0.1296380433136453
4,0,3395,848,879,808,270,275,315,10280,0.13371140188860853,10337,0.1345665672963016,9693,0.13345173681384495
5,0,3395,860,819,848,294,283,291,10451,0.135935589604849,10134,0.13192392308994103,9970,0.1372654303140446
6,0,3395,841,885,804,281,291,293,9980,0.12980931817590594,10363,0.13490503404194384,9680,0.1332727548084204
7,0,3395,852,857,807,299,300,280,10521,0.1368460758044796,10103,0.13152036658552144,9868,0.13586110996379056
8,0,3395,902,876,778,292,273,274,10771,0.14009781223173173,10665,0.13883645547209603,9278,0.12773808048683105
9,0,3395,867,873,781,264,282,328,10147,0.13198147810931038,10741,0.13982581980551181,9531,0.13122134566932386
10,0,3395,874,896,802,267,273,283,10137,0.13185140865222028,10399,0.1353736803051408,9356,0.12881197251937823
11,0,3395,831,869,845,280,298,272,9928,0.12913295699903748,10290,0.13395472356379448,9861,0.13576473503779274
12,0,3395,867,864,770,287,305,302,10564,0.13740537446996695,10408,0.13549084187094002,9636,0.13266696955929122
13,0,3395,846,854,840,275,289,291,10250,0.13332119351733826,10191,0.13266594634000287,9871,0.1359024135035039
14,0,3395,862,822,840,295,278,298,10103,0.13140917249811399,10032,0.130596092010883,9824,0.13525532471466137
15,0,3395,871,839,834,278,294,279,10055,0.1307848391040816,10020,0.13043987658981737,9620,0.13244668401415335
16,0,3395,869,904,762,309,277,274,10284,0.13376342967144456,11027,0.14354895400757645,8822,0.12145994245040133
17,0,3395,850,872,811,283,300,279,10027,0.13042064462422934,10092,0.13137716911621125,9872,0.13591618135007502
18,0,3395,843,869,819,311,292,261,10378,0.13498608256809136,10197,0.1327440540505357,9664,0.13305246926328254
19,0,3395,867,853,831,260,280,304,9919,0.1290158944876564,10324,0.13439733392348047,9993,0.1375820907851803
20,0,3395,844,913,782,288,295,273,10482,0.13633880492182826,10479,0.13641511644557847,9430,0.12983079316564097
21,0,3395,910,877,754,275,279,300,10450,0.13592258265913998,10567,0.1375606962000599,9427,0.1297894896259276
22,0,3395,852,875,798,316,278,276,10319,0.13421867277125984,10650,0.13864118619576396,9377,0.1291010972973717
23,0,3395,873,832,824,298,285,283,10382,0.1350381103509274,10214,0.1329653592303787,9777,0.13460823592581883
24,0,3395,838,874,796,304,277,306,10269,0.13356832548580944,10550,0.1373393910202169,10027,0.1380501975685983
25,0,3395,906,832,776,281,279,321,10731,0.1395775344033714,10168,0.13236653344962704,9675,0.13320391557556482
26,0,3395,883,897,760,287,275,293,10054,0.13077183215837257,10549,0.1373263730684614,9225,0.12700838461856181
27,0,3395,851,868,793,321,275,287,10185,0.1324757420462527,10406,0.13546480596742907,9380,0.12914240083708506
28,0,3395,855,869,806,304,260,301,9994,0.12999141541583206,10560,0.1374695705377716,9185,0.1264576707557171
29,0,3395,836,898,804,292,287,278,10307,0.13406258942275176,10914,0.14207792545920825,9474,0.13043657841477013
30,0,3395,876,861,814,278,290,276,10302,0.1339975546942067,10133,0.13191090513818557,9470,0.13038150702848567
