modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6098901098901099,0.5917958289123101,0.6441441441441441,0.4509283819628647,0.6803149606299213,0.6097190976142883,0.6189770149690836,0.019230769230769232,-0.01098901098901095,-0.00934181457297445,0.008713245391845703,-0.02913502824198333
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6236263736263736,0.6039379863844151,0.6557377049180327,0.45989304812834225,0.6961832061068702,0.6006928086280823,0.6479715569361122,0.012362637362637362,0.0027472527472527375,0.002800342899130559,-0.00031304359436035156,-0.0001404862749547764
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0,0.625,0.6051703558793918,0.6572769953051644,0.46112600536193027,0.6971080669710806,0.6006919741630554,0.6486557958325867,0.013736263736263736,0.004120879120879106,0.004032712394107296,-0.00031387805938720703,0.000543752621519733
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,106,0.6112637362637363,0.592242528348005,0.6441441441441441,0.44919786096256686,0.6833855799373041,0.6107234358787537,0.618949833396772,0.016483516483516484,-0.009615384615384581,-0.008895115137279586,0.009717583656311035,-0.02916220981429496
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,5,0.6126373626373627,0.5924278079387966,0.6410835214446953,0.44986449864498645,0.6863354037267081,0.6100834608078003,0.6195057155355123,0.01510989010989011,-0.008241758241758212,-0.008709835546487965,0.009077608585357666,-0.02860632767555471
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0,0.6263736263736264,0.6059898914388108,0.6542056074766355,0.4636118598382749,0.700152207001522,0.6004543304443359,0.6485018529321762,0.01510989010989011,0.005494505494505475,0.004852247953526234,-0.0005515217781066895,0.0003898097211092466
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5686813186813187,0.5512323989143032,0.5846153846153846,0.4289544235924933,0.6401273885350318,0.6603979468345642,0.5294249376561004,0.019230769230769232,-0.052197802197802234,-0.04990524457098133,0.05939209461212158,-0.11868710555496653
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.625,0.6054592461280025,0.6589327146171694,0.46112600536193027,0.696319018404908,0.6014024615287781,0.6465638177634758,0.016483516483516484,0.004120879120879106,0.00432160264271797,0.0003966093063354492,-0.001548225447591145
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0,0.6263736263736264,0.6060277408250283,0.6557377049180327,0.46112600536193027,0.7012195121951219,0.5982082486152649,0.6498852633171762,0.01510989010989011,0.005494505494505475,0.004890097339743771,-0.0027976036071777344,0.0017732201061092523
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,287,0.570054945054945,0.5506631079971332,0.5938864628820961,0.418732782369146,0.6393700787401575,0.6635803580284119,0.5267734637083533,0.019230769230769232,-0.050824175824175866,-0.050474535488151284,0.06257450580596924,-0.12133857950271365
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,15,0.570054945054945,0.5499423152495267,0.5877192982456141,0.41643835616438357,0.6456692913385826,0.6577922105789185,0.5314904146016203,0.03021978021978022,-0.050824175824175866,-0.05119532823575779,0.05678635835647583,-0.11662162860944669
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0,0.6236263736263736,0.6033945178394449,0.6510538641686182,0.45989304812834225,0.6992366412213741,0.5989911556243896,0.6481873507582657,0.01510989010989011,0.0027472527472527375,0.002256874354160332,-0.0020146965980529785,7.530754719875521e-05
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.5467032967032966,0.5311332328014988,0.5583524027459954,0.40601503759398494,0.6290322580645161,0.6807853579521179,0.4965658387277804,0.013736263736263736,-0.07417582417582425,-0.07000441068378571,0.07977950572967529,-0.1515462044832866
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6236263736263736,0.6038855911975057,0.6605080831408776,0.45576407506702415,0.6953846153846154,0.6010299324989319,0.646162748415539,0.017857142857142856,0.0027472527472527375,0.0027479477122211993,2.4080276489257812e-05,-0.0019492947955279671
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0,0.6277472527472527,0.6078150509233303,0.6557377049180327,0.46648793565683644,0.7012195121951219,0.5981743931770325,0.6495290950620748,0.013736263736263736,0.006868131868131844,0.00667740743804579,-0.0028314590454101562,0.0014170518510078223
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,463,0.554945054945055,0.5378292305043898,0.5630630630630631,0.4166666666666667,0.6337579617834395,0.6858076453208923,0.4948495840077791,0.01098901098901099,-0.06593406593406592,-0.06330841298089473,0.08480179309844971,-0.15326245920328785
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,24,0.5563186813186813,0.5412777635376818,0.5622119815668203,0.4239401496259352,0.6376811594202898,0.6783987283706665,0.4978209027205912,0.019230769230769232,-0.06456043956043955,-0.05985987994760278,0.07739287614822388,-0.15029114049047576
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0,0.6291208791208791,0.607127905078703,0.6589327146171694,0.4540540540540541,0.7083969465648855,0.5986592769622803,0.6476826985020521,0.016483516483516484,0.008241758241758212,0.005990261593418422,-0.0023465752601623535,-0.0004293447090149005
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.5975274725274725,0.5811073264922952,0.6325581395348837,0.4398976982097187,0.6708661417322834,0.6150400638580322,0.6110272770858547,0.01098901098901099,-0.02335164835164838,-0.020030316992989294,0.0140342116355896,-0.037084766125212276
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6195054945054945,0.6000675122407714,0.6557377049180327,0.4533333333333333,0.691131498470948,0.600083589553833,0.6483246728168952,0.012362637362637362,-0.0013736263736263687,-0.0010701312445131617,-0.0009222626686096191,0.00021262960582824064
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0,0.6236263736263736,0.603995220499825,0.6557377049180327,0.46112600536193027,0.6951219512195121,0.6012270450592041,0.6474540079891548,0.012362637362637362,0.0027472527472527375,0.00285757701454048,0.0002211928367614746,-0.0006580352219122121
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,111,0.5989010989010989,0.5820044401928522,0.6359447004608295,0.4381443298969072,0.6719242902208202,0.6158028244972229,0.6113060747805917,0.016483516483516484,-0.02197802197802201,-0.019133203292432288,0.014796972274780273,-0.03680596843047523
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,5,0.5961538461538461,0.5805315154577374,0.6323185011709602,0.44050632911392407,0.668769716088328,0.6149255037307739,0.610526963970892,0.008241758241758242,-0.02472527472527475,-0.020606128027547133,0.013919651508331299,-0.03758507924017496
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0,0.6236263736263736,0.6048505311322364,0.6588235294117647,0.46153846153846156,0.6941896024464832,0.6003553867340088,0.647571482231509,0.012362637362637362,0.0027472527472527375,0.003712887646951879,-0.0006504654884338379,-0.0005405609795580135
T,middle,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5851648351648352,0.5746191361310883,0.6226415094339622,0.4486873508353222,0.6525285481239804,0.6292583346366882,0.575588648703793,0.01510989010989011,-0.0357142857142857,-0.026518507354196252,0.028252482414245605,-0.07252339450727396
A,middle,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6222527472527473,0.6034572004958044,0.6557377049180327,0.4603174603174603,0.6943164362519201,0.597633957862854,0.6492290739026015,0.01098901098901099,0.0013736263736263687,0.0023195570105198904,-0.003371894359588623,0.0011170306915345707
V,middle,0.3,728,5478,0.3284235928836993,0.3199110671936759,0,0.6195054945054945,0.6008791742406613,0.6572769953051644,0.4562334217506631,0.6891271056661562,0.6015027761459351,0.6464468708290686,0.01098901098901099,-0.0013736263736263687,-0.0002584692446232495,0.0004969239234924316,-0.00166517238199837
TA,middle,0.3,728,5478,0.3284235928836993,0.31899819231442067,298,0.5824175824175825,0.57136432732349,0.6175771971496437,0.4449760765550239,0.6515397082658023,0.6295408606529236,0.5753440516412769,0.009615384615384616,-0.038461538461538436,-0.029773316161794572,0.028535008430480957,-0.07276799156979008
TV,middle,0.3,728,5478,0.3284235928836993,0.3194461095791871,15,0.5851648351648352,0.5755270856687016,0.6270783847980997,0.45023696682464454,0.6492659053833605,0.6297818422317505,0.5729629911519137,0.013736263736263736,-0.0357142857142857,-0.025610557816582946,0.02877599000930786,-0.07514905205915323
AV,middle,0.3,728,5478,0.3284235928836993,0.3194369409928567,0,0.6195054945054945,0.601440035379321,0.6587677725118484,0.45430809399477806,0.6912442396313364,0.5981521010398865,0.6476638863991809,0.009615384615384616,-0.0013736263736263687,0.00030239189403646893,-0.0028537511825561523,-0.00044815681188603573
T,middle,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.5425824175824175,0.5299055566008067,0.5497630331753555,0.40941176470588236,0.6305418719211823,0.6675689816474915,0.5184779663347681,0.020604395604395604,-0.07829670329670335,-0.0712320868844778,0.06656312942504883,-0.1296340768762989
A,middle,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6195054945054945,0.6020474718471879,0.6572769953051644,0.4595300261096606,0.6893353941267388,0.598093569278717,0.6485477280327759,0.008241758241758242,-0.0013736263736263687,0.000909828361903342,-0.002912282943725586,0.0004356848217089704
V,middle,0.5,728,8752,0.516434327252749,0.5101284584980237,0,0.6112637362637363,0.5939744195115871,0.6588785046728972,0.44502617801047123,0.6780185758513931,0.5995588302612305,0.6468341834846092,0.012362637362637362,-0.009615384615384581,-0.007163223973697397,-0.0014470219612121582,-0.0012778597264577751
TA,middle,0.5,728,8752,0.516434327252749,0.5096507084961223,492,0.532967032967033,0.5219553556986837,0.5467625899280576,0.4009216589861751,0.6181818181818182,0.6734799146652222,0.5149810067727436,0.016483516483516484,-0.08791208791208793,-0.07918228778660086,0.07247406244277954,-0.13313103643832336
TV,middle,0.5,728,8752,0.516434327252749,0.5098909003716581,24,0.5425824175824175,0.5331198827335693,0.5714285714285714,0.41203703703703703,0.6158940397350994,0.6683974862098694,0.5136745048427904,0.02197802197802198,-0.07829670329670335,-0.06801776075171528,0.06739163398742676,-0.13443753836827654
