epoch,fallback_clean,effective_rows,group_T,group_A,group_V,group_TA,group_TV,group_AV,text_newly_lost,text_newly_lost_ratio,audio_newly_lost,audio_newly_lost_ratio,vision_newly_lost,vision_newly_lost_ratio
1,0,3395,860,844,842,276,294,279,10279,0.1336983949428995,10193,0.1326919822435138,10218,0.1406798562636818
2,0,3395,885,864,794,276,291,285,10370,0.1348820270024193,10164,0.13231446164260516,9310,0.1281786515771068
3,0,3395,839,853,827,275,291,310,9986,0.12988735985015998,10100,0.131481312730255,10087,0.13887626836286537
4,0,3395,882,820,797,303,305,288,10567,0.13744439530709399,10122,0.13176770766887538,9741,0.1341125934492586
5,0,3395,899,849,804,294,264,285,10504,0.13662495772742644,10020,0.13043987658981737,9537,0.13130395274875056
6,0,3395,813,866,857,309,288,262,9476,0.1232538175385656,10302,0.13411093898486012,10068,0.13861467927801413
7,0,3395,839,824,842,308,286,296,9972,0.12970526261023385,10439,0.13589439837535963,10141,0.13961973207770573
8,0,3395,808,879,819,317,302,270,9963,0.12958820009885277,10437,0.1358683624718487,9631,0.13259813032643564
9,0,3395,840,856,827,296,278,298,9978,0.12978330428448792,10496,0.13663642162542144,9430,0.12983079316564097
10,0,3395,912,832,801,287,314,249,10878,0.14148955542259567,9793,0.1274848015413255,9686,0.13335536188784713
11,0,3395,874,861,796,302,266,296,10496,0.1365209021617544,10492,0.13658434981839956,9391,0.12929384714936737
12,0,3395,862,909,773,261,303,287,10060,0.1308498738326266,10138,0.1319759948969629,9505,0.1308633816584748
13,0,3395,872,834,821,293,305,270,10460,0.13605265211623008,9885,0.1286824531028288,9891,0.13617777043492627
14,0,3395,882,826,809,297,300,281,10782,0.14024088863453085,9959,0.12964578153273365,9379,0.12912863299051394
15,0,3395,851,888,798,276,284,298,10071,0.1309929502354257,10483,0.13646718825260035,9442,0.12999600732449437
16,0,3395,878,843,810,289,288,287,10424,0.13558440207070577,9918,0.12911204551075933,9576,0.13184089876502417
17,0,3395,896,856,763,301,277,302,10494,0.13649488827033637,10491,0.1365713318666441,9322,0.12834386573596024
18,0,3395,848,856,781,301,308,301,10692,0.13907026352072008,10535,0.13714412174388482,9829,0.13532416394751698
19,0,3395,924,869,795,288,257,262,10336,0.134439790848313,9793,0.1274848015413255,8868,0.12209326339267275
20,0,3395,853,905,813,267,287,270,9992,0.12996540152441405,9947,0.12948956611166798,9488,0.1306293282667658
21,0,3395,865,864,808,300,270,288,10180,0.13241070731770765,10127,0.13183279742765272,9835,0.13540677102694368
22,0,3395,903,894,771,282,285,260,10639,0.1383808953981426,10274,0.13374643633570693,9096,0.1252323324108876
23,0,3395,875,862,820,279,302,257,10843,0.14103431232278035,10004,0.13023158936172982,9582,0.13192350584445087
24,0,3395,860,840,833,296,273,293,10320,0.13423167971696887,10015,0.13037478683104,9585,0.13196480938416422
25,0,3395,894,888,793,301,275,244,10503,0.13661195078171745,10124,0.13179374357238632,9892,0.13619153828149738
26,0,3395,849,875,799,284,306,282,10530,0.13696313831586068,10473,0.13633700873504562,9846,0.13555821733922596
27,0,3395,838,833,855,292,303,274,10312,0.13412762415129678,9773,0.12722444250621606,10038,0.1382016438808806
28,0,3395,859,889,810,279,289,269,10378,0.13498608256809136,10478,0.13640209849382298,9512,0.13095975658447262
29,0,3395,862,835,846,276,283,293,10173,0.1323196586977446,9945,0.12946353020815704,9639,0.1327082730990046
30,0,3395,843,894,776,300,254,328,9953,0.1294581306417627,10594,0.1379121808974576,9558,0.13159307752674404
