modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.6098901098901099,0.5875996737948532,0.6375,0.43820224719101125,0.6870967741935484,0.6222625374794006,0.6204671246266479,0.019230769230769232,-0.01098901098901095,-0.017587192168265542,0.01373434066772461,-0.01912777168247093
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6181318681318682,0.6021324354657688,0.6536796536796536,0.4708994708994709,0.6818181818181818,0.6111372113227844,0.6381488417338221,0.008241758241758242,-0.0027472527472527375,-0.0030544304973499914,0.0026090145111083984,-0.0014460545752966736
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0,0.625,0.6095224902333016,0.6609071274298056,0.48148148148148145,0.6861788617886179,0.6079879403114319,0.6404076947688638,0.013736263736263736,0.004120879120879106,0.0043356242701828585,-0.0005402565002441406,0.0008127984597450233
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,106,0.6057692307692307,0.5818215142628632,0.6322314049586777,0.42613636363636365,0.6870967741935484,0.626463770866394,0.6178347944543068,0.01510989010989011,-0.015109890109890167,-0.023365351700255554,0.017935574054718018,-0.02176010185481203
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,5,0.6085164835164835,0.5853267223382045,0.6304801670146137,0.4375,0.688,0.6212327480316162,0.6216844508446948,0.020604395604395604,-0.01236263736263743,-0.019860143624914284,0.012704551219940186,-0.017910445464423996
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0,0.6222527472527473,0.6065791620062586,0.6594360086767896,0.47745358090185674,0.6828478964401294,0.610927939414978,0.6389595977656813,0.006868131868131868,0.0013736263736263687,0.0013922960431398401,0.002399742603302002,-0.0006352985434374681
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5645604395604396,0.5407445572945014,0.5944798301486199,0.38636363636363635,0.641390205371248,0.671734631061554,0.5383286349704874,0.017857142857142856,-0.05631868131868134,-0.06444230866861733,0.06320643424987793,-0.10126626133863137
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6222527472527473,0.6070488563570486,0.658008658008658,0.48021108179419525,0.6829268292682927,0.6146561503410339,0.6354743375448637,0.01098901098901099,0.0013736263736263687,0.0018619903939298688,0.00612795352935791,-0.0041205587642551
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0,0.6222527472527473,0.6060888279792748,0.6594827586206896,0.47593582887700536,0.6828478964401294,0.6068996787071228,0.6405553143491173,0.012362637362637362,0.0013736263736263687,0.0009019620161559994,-0.0016285181045532227,0.0009604180399984674
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,287,0.5618131868131868,0.5353723907145276,0.592436974789916,0.37317784256559766,0.640502354788069,0.6787845492362976,0.5336568087876593,0.020604395604395604,-0.05906593406593408,-0.06981447524859119,0.07025635242462158,-0.1059380875214595
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,15,0.5686813186813187,0.5445469232543151,0.6004228329809725,0.38968481375358166,0.6435331230283912,0.6694839596748352,0.5404811306398628,0.02197802197802198,-0.052197802197802234,-0.060639942708803685,0.06095576286315918,-0.099113765669256
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0,0.6236263736263736,0.6071783023838889,0.6580645161290323,0.478494623655914,0.6849757673667205,0.6140213012695312,0.6364242208397978,0.01098901098901099,0.0027472527472527375,0.001991436420770154,0.005493104457855225,-0.003170675469321038
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.5535714285714286,0.5326351396156118,0.5662100456621004,0.40555555555555556,0.6261398176291794,0.7070609331130981,0.47905584407201945,0.017857142857142856,-0.06730769230769229,-0.07255172634750695,0.09853273630142212,-0.16053905223709936
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6195054945054945,0.6035855810910459,0.6637931034482759,0.47058823529411764,0.6763754045307443,0.6175045967102051,0.6332571983580131,0.01510989010989011,-0.0013736263736263687,-0.0016012848720728945,0.008976399898529053,-0.006337697951105725
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0,0.6195054945054945,0.603282118799319,0.6594827586206896,0.4718498659517426,0.678513731825525,0.6082916259765625,0.6393412310049896,0.01098901098901099,-0.0013736263736263687,-0.001904747163799736,-0.0002365708351135254,-0.0002536653041291803
