modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,5,0.5879120879120879,0.5674557536259663,0.6261261261261262,0.4095744680851064,0.6666666666666666,0.6057990789413452,0.6395198503562709,0.03021978021978022,-0.0357142857142857,-0.0413126516778205,0.016749858856201172,-0.022809460846744956
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0,0.6195054945054945,0.6043888190551602,0.6587677725118484,0.46582278481012657,0.6885758998435054,0.5886950492858887,0.6630766421117216,0.01098901098901099,-0.004120879120879106,-0.004379586248626666,-0.0003541707992553711,0.0007473309087057123
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0,0.6236263736263736,0.607427161765603,0.6523809523809524,0.4720812182741117,0.6978193146417445,0.5872233510017395,0.6633694745239288,0.01098901098901099,0.0,-0.0013412435381838783,-0.001825869083404541,0.0010401633209129457
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,106,0.5879120879120879,0.5664286331715892,0.6219239373601789,0.40860215053763443,0.6687598116169545,0.6069702506065369,0.6387614128841619,0.024725274725274724,-0.0357142857142857,-0.04233977213219764,0.017921030521392822,-0.023567898318853975
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,5,0.5865384615384616,0.5643057467260769,0.6199095022624435,0.4032258064516129,0.6697819314641744,0.6060259342193604,0.6402544442050866,0.03021978021978022,-0.03708791208791207,-0.044462658577709924,0.01697671413421631,-0.022074866997929266
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0,0.625,0.6088181185892384,0.6603325415676959,0.46938775510204084,0.6967340590979783,0.5865523815155029,0.6641501905978774,0.009615384615384616,0.0013736263736263687,4.9713285451558065e-05,-0.0024968385696411133,0.0018208793948615298
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.5796703296703297,0.559829083256259,0.6085011185682326,0.42191780821917807,0.6490683229813664,0.6575495004653931,0.5510416836000368,0.020604395604395604,-0.04395604395604391,-0.04893932204752782,0.06850028038024902,-0.11128762760297906
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6222527472527473,0.6061597939372078,0.6555819477434679,0.4681933842239186,0.6947040498442367,0.5906466841697693,0.6612986050815638,0.01098901098901099,-0.0013736263736263687,-0.0026086113665790833,0.0015974640846252441,-0.001030706121452063
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0,0.6263736263736264,0.6100702438875248,0.6522781774580336,0.47715736040609136,0.7007751937984497,0.5875928997993469,0.6630864244135153,0.008241758241758242,0.0027472527472527375,0.001301838583738002,-0.0014563202857971191,0.0007571132104994271
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,287,0.5769230769230769,0.5576963673675076,0.600896860986547,0.4262295081967213,0.6459627329192547,0.6616074442863464,0.5478622614474623,0.019230769230769232,-0.04670329670329676,-0.051072037936279235,0.07255822420120239,-0.11446704975555355
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,15,0.5741758241758241,0.5543706078635897,0.5972850678733032,0.4207650273224044,0.6450617283950617,0.6565996408462524,0.5519225915078827,0.02197802197802198,-0.0494505494505495,-0.054397797440197126,0.0675504207611084,-0.11040671969513316
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0,0.6277472527472527,0.6111404834924392,0.6555819477434679,0.4781491002570694,0.6996904024767802,0.5881181359291077,0.662303509428491,0.01098901098901099,0.004120879120879106,0.002372078188652371,-0.000931084156036377,-2.5801774524825127e-05
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.554945054945055,0.5306006078008983,0.5661252900232019,0.37735849056603776,0.6483180428134556,0.6922508478164673,0.4840022589442191,0.020604395604395604,-0.06868131868131866,-0.07816779750288849,0.10320162773132324,-0.17832705225879675
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6222527472527473,0.6064339023852607,0.662004662004662,0.46547314578005117,0.6918238993710691,0.5933176279067993,0.6609422743281479,0.009615384615384616,-0.0013736263736263687,-0.0023345029185261046,0.0042684078216552734,-0.001387036874867964
