modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.6085164835164835,0.5895530400033588,0.5978835978835979,0.47317073170731705,0.6976047904191617,0.6390209794044495,0.5915941014702276,0.023351648351648352,-0.009615384615384692,-0.012222500584701756,0.030816316604614258,-0.03661357869599724
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6153846153846154,0.6001724396448401,0.6503667481662592,0.4681933842239186,0.6819571865443425,0.6094373464584351,0.6266562021851079,0.013736263736263736,-0.0027472527472527375,-0.0016031009432204701,0.0012326836585998535,-0.0015514779811169888
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.6181318681318682,0.6017755405880606,0.6503667481662592,0.4690721649484536,0.6858877086494689,0.6082047820091248,0.6282076803579084,0.012362637362637362,0.0,0.0,1.1920928955078125e-07,1.9168355791521208e-10
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.6002747252747253,0.5787418314744549,0.578125,0.46153846153846156,0.6965620328849028,0.6391804218292236,0.5895566199396233,0.03296703296703297,-0.017857142857142905,-0.023033709113605694,0.030975759029388428,-0.038651060226601586
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.6085164835164835,0.5895530400033588,0.5978835978835979,0.47317073170731705,0.6976047904191617,0.6390209794044495,0.5915941014702276,0.023351648351648352,-0.009615384615384692,-0.012222500584701756,0.030816316604614258,-0.03661357869599724
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.6153846153846154,0.6001724396448401,0.6503667481662592,0.4681933842239186,0.6819571865443425,0.6094373464584351,0.6266562021851079,0.013736263736263736,-0.0027472527472527375,-0.0016031009432204701,0.0012326836585998535,-0.0015514779811169888
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5686813186813187,0.5487810254452855,0.5429362880886427,0.4397163120567376,0.6636904761904762,0.6702626347541809,0.5178019199043777,0.020604395604395604,-0.0494505494505495,-0.05299451514277509,0.0620579719543457,-0.11040576026184712
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.614010989010989,0.5996231625937928,0.6537530266343826,0.4681933842239186,0.676923076923077,0.612087070941925,0.6220084193152218,0.016483516483516484,-0.004120879120879106,-0.002152377994267818,0.0038824081420898438,-0.0061992608510030855
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6181318681318682,0.6017755405880606,0.6503667481662592,0.4690721649484536,0.6858877086494689,0.6082047820091248,0.6282076803579084,0.012362637362637362,0.0,0.0,1.1920928955078125e-07,1.9168355791521208e-10
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5618131868131868,0.5431692956017743,0.5351351351351351,0.44075829383886256,0.6536144578313253,0.6726085543632507,0.512210743834411,0.03021978021978022,-0.05631868131868134,-0.058606244986286304,0.06440389156341553,-0.11599693633181385
