modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.6126373626373627,0.5946093017481137,0.616580310880829,0.472636815920398,0.6946107784431138,0.623154878616333,0.6103225743529838,0.023351648351648352,-0.03159340659340659,-0.030773223634411817,0.02166813611984253,-0.025310326813288486
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6442307692307693,0.6253825253825255,0.680952380952381,0.4864864864864865,0.7087087087087087,0.6014867424964905,0.6356329015816329,0.03021978021978022,0.0,0.0,0.0,4.153606347756522e-10
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.646978021978022,0.6293036056795717,0.6857142857142857,0.4932975871313673,0.7088989441930619,0.6018845438957214,0.6356759133405558,0.028846153846153848,0.0027472527472527375,0.003921080297046187,0.00039780139923095703,4.3012174283596494e-05
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.6126373626373627,0.5946093017481137,0.616580310880829,0.472636815920398,0.6946107784431138,0.623154878616333,0.6103225743529838,0.023351648351648352,-0.03159340659340659,-0.030773223634411817,0.02166813611984253,-0.025310326813288486
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.6153846153846154,0.596445046339226,0.6197916666666666,0.47117794486215536,0.6983655274888558,0.6233915090560913,0.6100938285884446,0.02197802197802198,-0.028846153846153855,-0.028937479043299463,0.02190476655960083,-0.025539072577827615
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.646978021978022,0.6293036056795717,0.6857142857142857,0.4932975871313673,0.7088989441930619,0.6018845438957214,0.6356759133405558,0.028846153846153848,0.0027472527472527375,0.003921080297046187,0.00039780139923095703,4.3012174283596494e-05
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5769230769230769,0.5604938382106165,0.5593667546174143,0.45647058823529413,0.6656441717791411,0.6499685645103455,0.53129251145248,0.024725274725274724,-0.0673076923076924,-0.06488868717190899,0.04848182201385498,-0.10434038971379223
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6442307692307693,0.6253825253825255,0.680952380952381,0.4864864864864865,0.7087087087087087,0.6014867424964905,0.6356329015816329,0.03021978021978022,0.0,0.0,0.0,4.153606347756522e-10
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6442307692307693,0.6255700763434963,0.6825775656324582,0.4864864864864865,0.7076461769115442,0.6035186648368835,0.6348880634533738,0.027472527472527472,0.0,0.00018755096097078372,0.0020319223403930664,-0.0007448377128984607
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5769230769230769,0.5604938382106165,0.5593667546174143,0.45647058823529413,0.6656441717791411,0.6499685645103455,0.53129251145248,0.024725274725274724,-0.0673076923076924,-0.06488868717190899,0.04848182201385498,-0.10434038971379223
