modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.614010989010989,0.5939409073646403,0.6442307692307693,0.4392764857881137,0.6983154670750383,0.6138947010040283,0.6269163580264293,0.008241758241758242,-0.024725274725274637,-0.016188724095425044,0.016929149627685547,-0.011166992603788395
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6387362637362637,0.6101296314600654,0.6754966887417219,0.4444444444444444,0.7104477611940299,0.5969655513763428,0.6380833529067862,0.019230769230769232,0.0,0.0,0.0,2.2765684892789295e-09
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.6387362637362637,0.6101296314600654,0.6754966887417219,0.4444444444444444,0.7104477611940299,0.5969655513763428,0.6380833529067862,0.019230769230769232,0.0,0.0,0.0,2.2765684892789295e-09
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.614010989010989,0.5939409073646403,0.6442307692307693,0.4392764857881137,0.6983154670750383,0.6138947010040283,0.6269163580264293,0.008241758241758242,-0.024725274725274637,-0.016188724095425044,0.016929149627685547,-0.011166992603788395
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.614010989010989,0.5939409073646403,0.6442307692307693,0.4392764857881137,0.6983154670750383,0.6138947010040283,0.6269163580264293,0.008241758241758242,-0.024725274725274637,-0.016188724095425044,0.016929149627685547,-0.011166992603788395
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.6387362637362637,0.6101296314600654,0.6754966887417219,0.4444444444444444,0.7104477611940299,0.5969655513763428,0.6380833529067862,0.019230769230769232,0.0,0.0,0.0,2.2765684892789295e-09
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5824175824175825,0.5677761289554414,0.5948717948717949,0.4397163120567376,0.6687402799377916,0.6495934724807739,0.5441314752012347,0.008241758241758242,-0.05631868131868123,-0.042353502504624,0.05262792110443115,-0.09395187542898298
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6387362637362637,0.6101296314600654,0.6754966887417219,0.4444444444444444,0.7104477611940299,0.5969655513763428,0.6380833529067862,0.019230769230769232,0.0,0.0,0.0,2.2765684892789295e-09
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6387362637362637,0.6101296314600654,0.6754966887417219,0.4444444444444444,0.7104477611940299,0.5969655513763428,0.6380833529067862,0.019230769230769232,0.0,0.0,0.0,2.2765684892789295e-09
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5824175824175825,0.5677761289554414,0.5948717948717949,0.4397163120567376,0.6687402799377916,0.6495934724807739,0.5441314752012347,0.008241758241758242,-0.05631868131868123,-0.042353502504624,0.05262792110443115,-0.09395187542898298
TV,front,0.3,728,5478,0.3284235928836993,0.3197758062582424,0.5824175824175825,0.5677761289554414,0.5948717948717949,0.4397163120567376,0.6687402799377916,0.6495934724807739,0.5441314752012347,0.008241758241758242,-0.05631868131868123,-0.042353502504624,0.05262792110443115,-0.09395187542898298
AV,front,0.3,728,5478,0.3284235928836993,0.3197670928627169,0.6387362637362637,0.6101296314600654,0.6754966887417219,0.4444444444444444,0.7104477611940299,0.5969655513763428,0.6380833529067862,0.019230769230769232,0.0,0.0,0.0,2.2765684892789295e-09
T,front,0.5,728,8752,0.516434327252749,0.5096668996040066,0.5315934065934066,0.5135799126382966,0.48295454545454547,0.41201716738197425,0.64576802507837,0.6805109977722168,0.4719550564775516,0.0013736263736263737,-0.1071428571428571,-0.09654971882176877,0.08354544639587402,-0.1661282941526661
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6387362637362637,0.6101296314600654,0.6754966887417219,0.4444444444444444,0.7104477611940299,0.5969655513763428,0.6380833529067862,0.019230769230769232,0.0,0.0,0.0,2.2765684892789295e-09
V,front,0.5,728,8752,0.516434327252749,0.5119194664031621,0.6387362637362637,0.6101296314600654,0.6754966887417219,0.4444444444444444,0.7104477611940299,0.5969655513763428,0.6380833529067862,0.019230769230769232,0.0,0.0,0.0,2.2765684892789295e-09
TA,front,0.5,728,8752,0.516434327252749,0.5096507084961223,0.5315934065934066,0.5135799126382966,0.48295454545454547,0.41201716738197425,0.64576802507837,0.6805109977722168,0.4719550564775516,0.0013736263736263737,-0.1071428571428571,-0.09654971882176877,0.08354544639587402,-0.1661282941526661
TV,front,0.5,728,8752,0.516434327252749,0.5107601007073492,0.5315934065934066,0.5135799126382966,0.48295454545454547,0.41201716738197425,0.64576802507837,0.6805109977722168,0.4719550564775516,0.0013736263736263737,-0.1071428571428571,-0.09654971882176877,0.08354544639587402,-0.1661282941526661
AV,front,0.5,728,8752,0.516434327252749,0.5107449426736299,0.6387362637362637,0.6101296314600654,0.6754966887417219,0.4444444444444444,0.7104477611940299,0.5969655513763428,0.6380833529067862,0.019230769230769232,0.0,0.0,0.0,2.2765684892789295e-09
T,middle,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.6043956043956044,0.5833482347848948,0.6379746835443038,0.42159383033419023,0.6904761904761905,0.6121130585670471,0.6121167945220204,0.01098901098901099,-0.03434065934065933,-0.026781396675170543,0.015147507190704346,-0.025966556108197314
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6387362637362637,0.6101296314600654,0.6754966887417219,0.4444444444444444,0.7104477611940299,0.5969655513763428,0.6380833529067862,0.019230769230769232,0.0,0.0,0.0,2.2765684892789295e-09
V,middle,0.1,728,2032,0.12971193869701972,0.11863883399209486,0.6387362637362637,0.6101296314600654,0.6754966887417219,0.4444444444444444,0.7104477611940299,0.5969655513763428,0.6380833529067862,0.019230769230769232,0.0,0.0,0.0,2.2765684892789295e-09
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.6043956043956044,0.5833482347848948,0.6379746835443038,0.42159383033419023,0.6904761904761905,0.6121130585670471,0.6121167945220204,0.01098901098901099,-0.03434065934065933,-0.026781396675170543,0.015147507190704346,-0.025966556108197314
