modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
T,front,0.1,728,2032,0.12971193869701972,0.11833216864663405,0.5989010989010989,0.5704266641502337,0.5971563981042654,0.4178272980501393,0.6962962962962963,0.6135448217391968,0.6166339031917478,0.023351648351648352,-0.030219780219780223,-0.02296209031603591,0.003472745418548584,-0.020338887389248717
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6277472527472527,0.591867595836631,0.6530612244897959,0.4086687306501548,0.7138728323699421,0.6111518144607544,0.6358559748046987,0.016483516483516484,-0.0013736263736263687,-0.0015211586296386415,0.0010797381401062012,-0.0011168157762978526
V,front,0.1,728,2032,0.12971193869701972,0.11894762845849802,0.6291208791208791,0.5941074231051645,0.6530612244897959,0.4174454828660436,0.7118155619596542,0.6101523041725159,0.6369308546840405,0.017857142857142856,0.0,0.0007186686388949148,8.022785186767578e-05,-4.1935896956002416e-05
TA,front,0.1,728,2032,0.12971193869701972,0.11834509300833868,0.592032967032967,0.5640923573086006,0.5862884160756501,0.4155124653739612,0.6904761904761905,0.6138867139816284,0.6154916354776144,0.017857142857142856,-0.03708791208791207,-0.029296397157668963,0.0038146376609802246,-0.02148115510338211
TV,front,0.1,728,2032,0.12971193869701972,0.11863085960915958,0.5975274725274725,0.568318586035204,0.6004728132387707,0.4112676056338028,0.6932153392330384,0.6136000156402588,0.616434062670095,0.023351648351648352,-0.03159340659340659,-0.025070168431065576,0.0035279393196105957,-0.0205387279109015
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.6304945054945055,0.5949629024131272,0.6545454545454545,0.41358024691358025,0.7167630057803468,0.6113942265510559,0.6357926624542362,0.01510989010989011,0.0013736263736263687,0.001574147946857618,0.0013221502304077148,-0.0011801281267603825
T,front,0.3,728,5478,0.3284235928836993,0.3190076869322152,0.5714285714285714,0.5532219217451259,0.5769230769230769,0.4263959390862944,0.6563467492260062,0.6437862515449524,0.5438341058073057,0.013736263736263736,-0.05769230769230771,-0.04016683272114374,0.0337141752243042,-0.0931386847736908
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6291208791208791,0.5930399315618248,0.6469248291571754,0.41358024691358025,0.7186147186147186,0.6120717525482178,0.6337785117823653,0.01510989010989011,0.0,-0.0003488229044448232,0.00199967622756958,-0.0031942787986312116
V,front,0.3,728,5478,0.3284235928836993,0.3205904150197628,0.6304945054945055,0.5938687064949945,0.6514806378132119,0.41379310344827586,0.7163323782234957,0.6109684705734253,0.6353510998162789,0.017857142857142856,0.0013736263736263687,0.00047995202872486153,0.0008963942527770996,-0.0016216907647176315
TA,front,0.3,728,5478,0.3284235928836993,0.31899819231442067,0.5796703296703297,0.5617199938603111,0.5748792270531401,0.4467005076142132,0.6635802469135802,0.6454465389251709,0.5408955283087782,0.01510989010989011,-0.049450549450549386,-0.03166876060595847,0.035374462604522705,-0.09607726227221836
