modalities,position,ratio,seeds,baseline_accuracy,augmented_accuracy,delta_accuracy,baseline_macro_f1,augmented_macro_f1,delta_macro_f1,baseline_mae,augmented_mae,delta_mae,baseline_pearson,augmented_pearson,delta_pearson
A,back,0.1,3,0.63003663003663,0.6231684981684982,-0.006868131868131844,0.604813268341463,0.6048384553886275,2.5187047164476617e-05,0.6103271245956421,0.5991183718045553,-0.011208752791086796,0.6305988772651,0.6231034210221997,-0.007495456242900267
A,back,0.3,3,0.63507326007326,0.6240842490842491,-0.01098901098901095,0.6092475877337051,0.604215067644088,-0.005032520089617076,0.6103930870691935,0.5993454655011495,-0.011047621568043953,0.6310613644635255,0.6235045785369114,-0.007556785926614018
A,back,0.5,3,0.6309523809523809,0.6245421245421245,-0.0064102564102563875,0.6044446793535675,0.6050890973052813,0.0006444179517137716,0.6102849642435709,0.5994562307993571,-0.010828733444213867,0.6301225943130196,0.6229809084145943,-0.007141685898425343
A,front,0.1,3,0.63003663003663,0.6213369963369964,-0.008699633699633669,0.6055610432956483,0.603258520422697,-0.002302522872951296,0.6105552315711975,0.6013759771982828,-0.00917925437291467,0.6309630614387364,0.6226985143515155,-0.008264547087220908
A,front,0.3,3,0.6282051282051282,0.6195054945054945,-0.008699633699633669,0.6036075430021886,0.6018186950343529,-0.0017888479678356273,0.6128336588541666,0.6050908962885538,-0.007742762565612793,0.6281569337311658,0.6191799272232538,-0.008977006507912
A,front,0.5,3,0.6259157509157509,0.6117216117216118,-0.014194139194139144,0.6032861983157776,0.5947089248703274,-0.008577273445450118,0.6134428779284159,0.6050697763760885,-0.0083731015523274,0.6281423530063511,0.6200728000481677,-0.008069552958183457
A,middle,0.1,3,0.6314102564102564,0.6231684981684982,-0.008241758241758212,0.6068283553754326,0.6051214454204579,-0.0017069099549746891,0.6078905065854391,0.5975406169891357,-0.010349889596303341,0.6336686069058352,0.6261141084477373,-0.007554498458097858
A,middle,0.3,3,0.6336996336996337,0.6222527472527473,-0.011446886446886406,0.6082490241349217,0.6038448805163281,-0.004404143618593537,0.6076147754987081,0.5967255036036173,-0.010889271895090813,0.6339200609960417,0.6267844596370539,-0.007135601358987831
A,middle,0.5,3,0.6286630036630036,0.6217948717948718,-0.006868131868131844,0.6037877818195858,0.6026966277578473,-0.0010911540617385418,0.6072593132654825,0.5968587398529053,-0.010400573412577274,0.6338385697103386,0.6263049296860331,-0.007533640024305455
AV,back,0.1,3,0.6291208791208791,0.6254578754578755,-0.00366300366300365,0.6035731862674549,0.606933914068391,0.003360727800936103,0.610649307568868,0.5990499258041382,-0.011599381764729855,0.6308203891620281,0.6231338776621153,-0.00768651149991284
