candidate,seed,best_epoch,parameter_count,seconds,selection_J,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,masked_accuracy,masked_macro_f1,masked_mae,masked_pearson,clean_f1_0,clean_f1_1,clean_f1_2,clean_sign_conflict
A_clean,20260923,3,130180,29.17116329999999,0.6284036715967122,0.6291208791208791,0.5933887544662696,0.6100720763206482,0.6369727905809965,0.6031491656491655,0.5737056340860203,0.6247629843376301,0.5970368717026268,0.6561085972850679,0.411214953271028,0.7128427128427128,0.017857142857142856
A_clean,20260924,4,130180,28.42310509999993,0.6174576334333396,0.6304945054945055,0.6127152735921556,0.6065973043441772,0.6282565351677198,0.5974257224257223,0.5807893466333898,0.6227147457776246,0.59412865363148,0.6558891454965358,0.48148148148148145,0.7007751937984497,0.013736263736263736
A_clean,20260925,5,130180,28.14634890000002,0.6218549685719958,0.6332417582417582,0.6137396783494787,0.6124721765518188,0.6307822614699417,0.5964336589336589,0.5781334918541114,0.6314026360158567,0.5879547538802267,0.645320197044335,0.4831168831168831,0.7127819548872181,0.01510989010989011
A_aug,20260923,3,130180,83.47979299999952,0.6163950673438907,0.6236263736263736,0.5995732452767392,0.5834478139877319,0.6398034577598173,0.6023351648351649,0.5800591943521687,0.6108484930462308,0.5994098891313407,0.6417582417582418,0.45325779036827196,0.7037037037037037,0.0260989010989011
A_aug,20260924,5,130180,83.29359810000005,0.6232125656991171,0.6181318681318682,0.609784384795156,0.6120136976242065,0.6141751001427747,0.5882173382173383,0.5776520837996688,0.6315863331158956,0.5720862366233749,0.6573426573426573,0.4976303317535545,0.6743801652892562,0.017857142857142856
A_aug,20260925,3,130180,83.54220400000031,0.6204064024388629,0.6263736263736264,0.6038614666996457,0.6022409796714783,0.6191350912943689,0.6042175417175416,0.5798683210904338,0.6243450465025725,0.5835268168451215,0.6321243523316062,0.4639175257731959,0.7155425219941349,0.005494505494505495
B1_clean,20260923,5,253445,41.72648769999978,0.6526345382795886,0.6002747252747253,0.585428045614381,0.6029050350189209,0.6373532619445823,0.5609483109483109,0.5509630654250938,0.6478870500017095,0.5625456551959669,0.6173469387755102,0.45893719806763283,0.68,0.027472527472527472
B1_clean,20260924,6,253445,41.4985886000004,0.6475171334507732,0.6043956043956044,0.5928809542888451,0.621140718460083,0.6255146655041124,0.5741249491249492,0.5593699035616475,0.6540122926235199,0.5596952338483623,0.6308068459657702,0.4748201438848921,0.6730158730158731,0.034340659340659344
B1_clean,20260925,4,253445,41.34796639999968,0.6628879288271179,0.5934065934065934,0.5766528420878559,0.6087418794631958,0.6367784086063574,0.5601343101343103,0.5406782280561292,0.6473252817436501,0.5734921041428669,0.6175771971496437,0.44050632911392407,0.671875,0.03159340659340659
B1_aug,20260923,4,253445,102.89951369999926,0.6425047770131005,0.6002747252747253,0.586307232157642,0.6171872615814209,0.6140451897877212,0.577889702889703,0.5641807067856218,0.6431393733731022,0.5696221689130322,0.6363636363636364,0.4635416666666667,0.659016393442623,0.03571428571428571
B1_aug,20260924,6,253445,102.06063979999999,0.6415317242322309,0.6126373626373627,0.5834333596722463,0.6012704968452454,0.6428694783034465,0.5894892144892144,0.5587429892057565,0.6253657252700241,0.599229230438012,0.6370023419203747,0.41739130434782606,0.695906432748538,0.034340659340659344
B1_aug,20260925,5,253445,102.52702729999965,0.6255011162546579,0.6195054945054945,0.5970394587760312,0.5995849967002869,0.6396709873620477,0.5993335368335369,0.5770032213199683,0.6301919221878052,0.584349680602242,0.6456310679611651,0.4450402144772118,0.7004470938897168,0.027472527472527472
B2_clean,20260923,4,385925,47.28236349999952,0.651730945911226,0.5810439560439561,0.5742112183283034,0.5933644771575928,0.6321058033429459,0.5600579975579975,0.5513414196481286,0.637371101865062,0.568908164455962,0.6146095717884131,0.4577777777777778,0.6502463054187192,0.01510989010989011
B2_clean,20260924,7,385925,44.728525499999705,0.672080506902252,0.6153846153846154,0.5695021834760298,0.6540180444717407,0.6464248938264054,0.5857498982498982,0.5404520473039529,0.6611743381729832,0.5873492877490611,0.6447638603696099,0.3649122807017544,0.6988304093567251,0.06043956043956044
B2_clean,20260925,4,385925,46.536165399999845,0.6455154589218317,0.6236263736263736,0.6097196956337897,0.608742892742157,0.6537731956759475,0.5738960113960115,0.5516049470090582,0.6436820747675719,0.5851319292999526,0.6266318537859008,0.4988235294117647,0.7037037037037037,0.027472527472527472
B2_aug,20260923,3,385925,98.7921194999999,0.6236491770054755,0.6222527472527473,0.6090573506903082,0.6152309775352478,0.6361828376146893,0.5977564102564104,0.5819062462766459,0.6442958050303988,0.5824375956039732,0.6616541353383458,0.4720194647201946,0.6934984520123839,0.03571428571428571
B2_aug,20260924,5,385925,98.54338559999997,0.6292479463642748,0.6346153846153846,0.5927789894770356,0.5975871086120605,0.656189965439036,0.6063542938542937,0.5706777487698537,0.622608318373009,0.6069936002848803,0.6448362720403022,0.4115755627009646,0.7219251336898396,0.023351648351648352
B2_aug,20260925,8,385925,98.52863160000015,0.6276638818361675,0.6277472527472527,0.6059242212957241,0.6092981100082397,0.6484919440109065,0.5955433455433455,0.5738289530244352,0.6349672377109528,0.5949378468015261,0.6713615023474179,0.4444444444444444,0.7019667170953101,0.020604395604395604
