modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,A_clean_accuracy,A_clean_macro_f1,A_clean_mae,A_clean_pearson,A_aug_accuracy,A_aug_macro_f1,A_aug_mae,A_aug_pearson,B1_clean_accuracy,B1_clean_macro_f1,B1_clean_mae,B1_clean_pearson,B1_aug_accuracy,B1_aug_macro_f1,B1_aug_mae,B1_aug_pearson,B2_clean_accuracy,B2_clean_macro_f1,B2_clean_mae,B2_clean_pearson,B2_aug_accuracy,B2_aug_macro_f1,B2_aug_mae,B2_aug_pearson,delta_B2_aug_minus_A_aug_accuracy,delta_B2_aug_minus_A_aug_macro_f1,delta_B2_aug_minus_A_aug_mae,delta_B2_aug_minus_A_aug_pearson
A,back,0.1,728,2032,0.12971193869701972,0.11847483358635992,0.63003663003663,0.604813268341463,0.6103271245956421,0.6305988772651,0.6231684981684982,0.6048384553886275,0.5991183718045553,0.6231034210221997,0.5989010989010989,0.5870707287203744,0.6146176854769388,0.6326382105584384,0.6126373626373627,0.591511488634622,0.607225755850474,0.6314943381562341,0.608974358974359,0.5892438569118469,0.6187331080436707,0.6415383899333296,0.6286630036630036,0.6043823507398713,0.6101290782292684,0.645646041249578,0.005494505494505475,-0.0004561046487561171,0.011010706424713135,0.022542620227378296
A,back,0.3,728,5478,0.3284235928836993,0.3191054536961345,0.63507326007326,0.6092475877337051,0.6103930870691935,0.6310613644635255,0.6240842490842491,0.604215067644088,0.5993454655011495,0.6235045785369114,0.6066849816849818,0.5953900646673862,0.6233804027239481,0.6292977882351869,0.6121794871794872,0.5933283621037169,0.6094066898028055,0.6308585928570654,0.6016483516483516,0.5851609539698553,0.6198051373163859,0.6358817134833461,0.6332417582417582,0.6099124141269028,0.611720065275828,0.6430099184279265,0.009157509157509125,0.005697346482814725,0.012374599774678474,0.019505339891015105
A,back,0.5,728,8752,0.516434327252749,0.5097512554011444,0.6309523809523809,0.6044446793535675,0.6102849642435709,0.6301225943130196,0.6245421245421245,0.6050890973052813,0.5994562307993571,0.6229809084145943,0.6053113553113553,0.5960822334776087,0.6323921879132589,0.6292386611938877,0.6121794871794872,0.5961514926096391,0.6140469511349996,0.6293347184450352,0.6053113553113553,0.5924063901586778,0.6188163757324219,0.6375815519090761,0.6318681318681318,0.6096071954773763,0.614729086558024,0.641410259319021,0.0073260073260073,0.004518098172095031,0.015272855758666992,0.018429350904426656
A,front,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.63003663003663,0.6055610432956483,0.6105552315711975,0.6309630614387364,0.6213369963369964,0.603258520422697,0.6013759771982828,0.6226985143515155,0.592948717948718,0.5831337850793077,0.6170401374499003,0.6323302554784938,0.6126373626373627,0.5940447277982237,0.6074588298797607,0.6320848682232025,0.603937728937729,0.5866095782077942,0.615596870581309,0.6459114203315787,0.6282051282051282,0.6035729968877597,0.607053279876709,0.6477173094489974,0.006868131868131844,0.000314476465062663,0.005677302678426144,0.02501879509748195
A,front,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6282051282051282,0.6036075430021886,0.6128336588541666,0.6281569337311658,0.6195054945054945,0.6018186950343529,0.6050908962885538,0.6191799272232538,0.5966117216117216,0.5884361537735244,0.6245924035708109,0.6322850131648609,0.6085164835164836,0.5917714886730869,0.608051617940267,0.6337735423309777,0.6053113553113554,0.5948211615325242,0.611710766951243,0.64722805923055,0.6323260073260073,0.6088580705443876,0.6089901328086853,0.6477246365810482,0.012820512820512775,0.00703937551003464,0.003899236520131466,0.028544709357794407
A,front,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6259157509157509,0.6032861983157776,0.6134428779284159,0.6281423530063511,0.6117216117216118,0.5947089248703274,0.6050697763760885,0.6200728000481677,0.5952380952380952,0.5888369461459524,0.6337561011314392,0.6317343080579871,0.6112637362637363,0.5966080980392843,0.6103382110595703,0.6347777047371321,0.6034798534798534,0.5963248135940914,0.6111278931299845,0.6474213488554882,0.6318681318681318,0.6105055886098084,0.6126516660054525,0.6460568537746514,0.020146520146520075,0.015796663739480965,0.007581889629364014,0.025984053726483713
A,middle,0.1,728,2032,0.12971193869701972,0.1183580520845498,0.6314102564102564,0.6068283553754326,0.6078905065854391,0.6336686069058352,0.6231684981684982,0.6051214454204579,0.5975406169891357,0.6261141084477373,0.6057692307692308,0.5939791867760309,0.6125452717145284,0.6367260441021289,0.6057692307692308,0.5857134951660141,0.6052643259366354,0.6350124490264674,0.6121794871794872,0.5931526280021171,0.6146402756373087,0.6480454256104831,0.6295787545787546,0.6044122032473362,0.6073230504989624,0.6485256336285419,0.0064102564102563875,-0.000709242173121627,0.00978243350982666,0.02241152518080458
A,middle,0.3,728,5478,0.3284235928836993,0.3189886721943244,0.6336996336996337,0.6082490241349217,0.6076147754987081,0.6339200609960417,0.6222527472527473,0.6038448805163281,0.5967255036036173,0.6267844596370539,0.6066849816849816,0.5969811867408183,0.6223252813021342,0.6344470869770183,0.608974358974359,0.5902628635591028,0.6090149680773417,0.6343711235346854,0.6085164835164836,0.5931128766621674,0.6133811275164286,0.6485281871558265,0.6309523809523809,0.6079360765257968,0.6099300583203634,0.6466078335519536,0.008699633699633669,0.004091196009468723,0.013204554716746086,0.019823373914899745
A,middle,0.5,728,8752,0.516434327252749,0.5096344738993344,0.6286630036630036,0.6037877818195858,0.6072593132654825,0.6338385697103386,0.6217948717948718,0.6026966277578473,0.5968587398529053,0.6263049296860331,0.6043956043956044,0.5965193961717442,0.6340705752372742,0.6298423949175991,0.6085164835164836,0.5924384758949275,0.6130282084147135,0.631892748736381,0.6048534798534798,0.5939865987181714,0.6134655475616455,0.6442492631836889,0.6332417582417582,0.6120151302740364,0.6130041480064392,0.6439214498422349,0.011446886446886406,0.009318502516189153,0.016145408153533936,0.017616520156201743
AV,back,0.1,728,2032,0.12971193869701972,0.11789423134641935,0.6291208791208791,0.6035731862674549,0.610649307568868,0.6308203891620281,0.6254578754578755,0.606933914068391,0.5990499258041382,0.6231338776621153,0.6016483516483516,0.5921053595418055,0.6149191459019979,0.6282484626067083,0.6172161172161172,0.5977453435718197,0.6042014161745707,0.6308133727917393,0.6053113553113554,0.5879055125115963,0.6150328119595846,0.6390634059405532,0.6323260073260073,0.610226905456126,0.6074622869491577,0.6443894464679664,0.006868131868131844,0.003292991387734978,0.008412361145019531,0.02125556880585111
AV,back,0.3,728,5478,0.3284235928836993,0.31790623686895975,0.6314102564102564,0.6053961393998033,0.6112510561943054,0.6306000017632709,0.6227106227106227,0.6031998125134469,0.5992342233657837,0.6228662730758203,0.5975274725274725,0.590009787248717,0.6300755937894186,0.6144036186351711,0.61492673992674,0.5992818967364094,0.6074174443880717,0.6262208625123182,0.6076007326007326,0.5968890680326469,0.6097917755444845,0.6316154244332834,0.63507326007326,0.6135552593581801,0.6090940038363138,0.6375724669009907,0.012362637362637319,0.010355446844733218,0.009859780470530155,0.014706193825170355
AV,back,0.5,728,8752,0.516434327252749,0.508433879584609,0.6323260073260073,0.6062145442363215,0.6098683873812357,0.6310727722040785,0.6217948717948718,0.6018711908635221,0.598267654577891,0.6235508926732245,0.5906593406593407,0.5843306155802014,0.6423083742459615,0.6082270728619279,0.6176739926739927,0.6035478865342049,0.6107624967892965,0.6219623281084581,0.6048534798534798,0.597732107181843,0.6045528451601664,0.6329340865314192,0.6254578754578755,0.6059907649893567,0.6137281854947408,0.6300391962197938,0.00366300366300365,0.004119574125834524,0.015460530916849846,0.006488303546569263
AV,front,0.1,728,2032,0.12971193869701972,0.11864457650519239,0.6309523809523809,0.6066607445728118,0.6105767885843912,0.6309919937626114,0.6240842490842491,0.6058150018214828,0.6012502511342367,0.6227946692653515,0.5906593406593407,0.5818404796915837,0.6191374659538269,0.6276318955694072,0.6144688644688645,0.5978173404768946,0.6045116186141968,0.6311440739951437,0.6002747252747253,0.5865454193457403,0.6139266888300577,0.6447771732443166,0.635989010989011,0.612989470994741,0.604680061340332,0.647259165454376,0.011904761904761862,0.007174469173258147,0.0034298102060953406,0.024464496189024465
