treatment,control,seed,delta_selection_J,delta_clean_accuracy,delta_clean_macro_f1,delta_clean_neutral_f1,delta_clean_mae,delta_clean_pearson,delta_masked_accuracy,delta_masked_macro_f1,delta_masked_mae,delta_masked_pearson
TV_effective,TV_old,20260923,0.001051824941531554,-0.01098901098901095,0.0024020937371863615,0.03476839158208478,0.011632859706878662,-0.007622563141160832,-0.00770757020757018,0.0013399116744818862,0.0067515086244653855,-0.004448287681883212
TV_effective,TV_old,20260924,0.001411461870200803,-0.012362637362637319,-0.005679832852537925,-0.0006684491978609097,-0.006319284439086914,0.008816383615775858,-0.007936507936507797,-0.0009062166141096117,-0.0006462070677015763,0.009575223424634682
TV_effective,TV_old,20260925,0.013570386056854344,-0.012362637362637319,-0.013848076334179393,-0.01068556919170549,0.005871236324310303,-0.0022026250478885956,-0.010861823361823286,-0.012102538907083127,0.0021687723972180217,-3.2317506662438156e-05
TV_effective,TV_clean,20260923,-0.01678446181138027,-0.01236263736263743,0.01786477757149374,0.10124069478908182,-0.014848768711090088,-0.008115296675481387,-0.006969881969881797,0.012248318643049982,-0.007578524174513657,-0.007680765247922161
TV_effective,TV_clean,20260924,0.010762866268486881,-0.0013736263736263687,-0.006566451912687121,-0.033487093657726785,0.00822150707244873,-0.007868911242394305,0.0034086284086284335,-0.005847180373412031,0.01620296968354118,-0.011371045193165896
TV_effective,TV_clean,20260925,0.01028526605645208,-0.02472527472527475,-0.022935953356401195,-0.0020740164625057123,-0.004827618598937988,-0.006850440556292137,-0.008038258038257973,-0.009244454560986104,-0.007919046613905079,7.278136497268495e-05
C_concat,B_early,20260923,0.001085383877084567,0.009615384615384581,-0.003214243547742468,-0.009341633964099094,0.015694916248321533,-0.021518146564941887,0.010149572649572391,0.0004082615291737257,-0.002879562201323349,-0.005983776664330032
C_concat,B_early,20260924,0.002350510000924677,-0.0013736263736263687,0.0040781545746390035,0.007877324837029298,0.018286705017089844,-0.01388102644388911,-0.0011955636955637283,0.001679041005655857,0.012421749256275372,-0.011633051495203328
C_concat,B_early,20260925,0.003439037954035773,0.012362637362637319,0.0035256040631113095,0.0017914161310387255,0.040796875953674316,-0.008030929171226608,0.01678876678876684,0.008241390531718906,0.02840696882318572,0.0013813978694012796
C_concat,TAV_MLP,20260923,0.007080375140558148,0.012362637362637319,0.009858042113242371,0.011728204029487155,0.04732561111450195,-0.025050723020679677,0.0059778184778183086,0.002710712747303723,0.030536477212552593,-0.023009725203573028
C_concat,TAV_MLP,20260924,0.008700229654218128,0.015109890109890056,-0.012927240743481394,-0.07817744421556055,0.004051387310028076,0.027809436762036732,0.016865079365079305,-0.005648016780026133,0.003579165096636139,0.022948492178724855
C_concat,TAV_MLP,20260925,0.009889755078554052,0.013736263736263687,0.006457647220238449,-0.014686756542426682,0.048263490200042725,0.02129603951746062,0.008801383801383955,0.0032110229595982975,0.03956190634656842,0.01273067892202484
C_concat,TV_effective,20260923,0.01748933570395217,0.006868131868131844,-0.007881332519262818,-0.036254700391322725,0.03635096549987793,-0.019242723734371858,0.0013481888481886584,-0.007639077412796125,0.027041789558198692,-0.021081966423539877
C_concat,TV_effective,20260924,0.010105058653912202,0.005494505494505475,-0.013790956081055294,-0.04578775417323605,-0.0006211996078491211,0.01365343980691236,0.003230565730565793,-0.010033988116165848,-0.0032656192779541016,0.005165957169444568
C_concat,TV_effective,20260925,0.012982956959450731,0.02060439560439553,0.007872541893759855,-0.03518170079321159,0.053845345973968506,0.011648670201849454,0.012769637769637687,0.0019293759518805853,0.04764404892921448,0.002087270666212615
C_gate,C_concat,20260923,0.015123162154730752,-0.03296703296703296,-0.031505012600423266,-0.04544576451270166,-0.04244798421859741,0.03794120509868237,-0.02179995929995915,-0.02358317149415201,-0.02761255039109123,0.031073472959918802
C_gate,C_concat,20260924,0.010180002554518564,-0.008241758241758212,-0.007661361458486393,-0.014828610081346505,0.01597583293914795,0.00011351465869524624,-0.004400691900692033,-0.004643828379157777,0.013801885975731731,0.0004484152089682114
C_gate,C_concat,20260925,-0.010833124753948598,-0.019230769230769162,-0.009181470434599603,0.005314685314685319,-0.04949861764907837,0.007680912399237405,-0.015771265771265752,-0.002085291949952328,-0.04227030608389115,0.0075657241376198
