candidate,seed,delta_selection_J,delta_clean_accuracy,delta_clean_macro_f1,delta_clean_neutral_f1,delta_clean_mae,delta_clean_pearson,delta_masked_accuracy,delta_masked_macro_f1,delta_masked_mae,delta_masked_pearson
C_gate,20260923,-0.011495579611078388,-0.0027472527472527375,0.007730337853718572,0.03557356748846108,-0.011781692504882812,0.016617553912317562,-0.0045787545787547845,0.007468565011832462,-0.011919054720136879,0.01779405905728426
C_gate,20260924,0.003017482182757658,-0.008241758241758212,-0.00923087919516119,-0.02545760572270145,-0.02083110809326172,0.02804172141089767,-0.007860195360195332,-0.00895268746146849,-0.01707531015078234,0.026646159499334354
C_gate,20260925,0.013050658885896849,-0.026098901098901117,-0.019031778065639604,-0.003452130207660109,-0.017783701419830322,0.01055282902039878,-0.02414021164021174,-0.017723836134940107,-0.014072750453595795,0.011505465268042858
C_lr1e4,20260923,-0.0023590258180302692,0.0027472527472527375,0.005723276497587859,0.01956673654786867,0.010284245014190674,-0.0040598337348908276,0.002721815221815249,0.006185049784556584,0.011414240907739681,-0.0056316627437361655
C_lr1e4,20260924,0.01447121681744501,0.0013736263736263687,-0.010853456209091616,-0.045141218812907946,0.009964227676391602,-0.017876842997250897,0.0011955636955637283,-0.010636729471513395,0.011799813420684147,-0.016661663501461366
C_lr1e4,20260925,0.004404351087270442,-0.010989010989011061,-0.008488501640293133,0.002694913934107035,-0.013355433940887451,-0.012605334595317652,-0.009717134717134535,-0.008040664711031598,-0.01054128011067712,-0.014465947746240992
C_uni,20260923,0.00035441211375886184,0.0,-0.0002755814822896774,0.003724867724867742,-0.0005638599395751953,-0.0015870445903110042,-0.0004070004070005906,-0.0006975436032421456,-0.0007626105237890091,-0.0012714927613206584
C_uni,20260924,-0.0012234544607997444,0.004120879120879106,0.0023876897936176977,-5.3694158075601184e-05,0.0007018446922302246,-0.001517633179817568,0.0022893772893772812,0.0012001924996832836,0.0008605012187250516,-0.0010662288635279182
C_uni,20260925,0.0015791832348999169,-0.0013736263736263687,-0.00012953309050200978,0.003200235119314887,-0.0007789134979248047,0.0024837278787247508,-0.0026200651200649627,-0.002018987164228103,0.00038987618905528265,0.0009367084891874766
C_gate_uni,20260923,-0.007665822417550094,-0.009615384615384581,-0.002251142643291626,0.022429811903496133,-0.017853379249572754,0.0235268392803496,-0.0064102564102564985,0.003385961859242892,-0.01680542031923926,0.02367364374336922
C_gate_uni,20260924,0.004832638487641594,-0.009615384615384581,-0.009280592480612748,-0.020097886077267535,-0.02091163396835327,0.028432903658366038,-0.011065323565323526,-0.011261275232627987,-0.016763319571812985,0.027248599201816215
C_gate_uni,20260925,0.01381991695435858,-0.02197802197802201,-0.015530615307471018,-0.002195690956497909,-0.015430629253387451,0.011025641593789381,-0.02569190069190075,-0.01919605913970579,-0.012695581824691216,0.012083919474577764
C_multi,20260923,-0.0023533601441220187,0.0,0.006321672735904116,0.029583842083842127,0.0025869011878967285,0.0012647501506276582,-0.005265567765567969,0.0020958350292326067,0.002333436851148285,0.0005018975646362556
C_multi,20260924,0.008929552353477477,-0.009615384615384581,-0.010332318977961052,-0.018405570248826053,0.00750577449798584,-0.0011306632154020058,-0.004146316646316595,-0.005974181135715351,0.00496142219614093,0.00036842160313343975
C_multi,20260925,0.005751573677577504,-0.01236263736263743,-0.009437461202502107,-0.0008580772593336228,0.0043122172355651855,0.0011547801679715475,-0.0037901912901912027,-0.00258306240371009,0.004382240551489391,0.002532973415595219
