sample_id,reference,fixed_class,class_text,class_audio,class_vision,strength_text,strength_audio,strength_vision,base_class_probability,full_class_probability,shapley_sum_error
01,mean,neutral,0.20918456092476845,0.05754664167761803,0.08716977760195732,-0.3401025980710983,-0.07924169953912497,-0.08005854161456227,0.21971499919891357,0.5736159682273865,1.1175870895385742e-08
01,missing,neutral,0.2472468987107277,-0.01547684264369309,0.0033434878569096327,0.2487420248799026,-0.06467936746776104,-0.05433393269777298,0.338502436876297,0.5736159682273865,1.257285475730896e-08
02,mean,neutral,-0.0870713023468852,0.11536045093089342,0.1233192328363657,-0.3455345928668976,-0.025448542088270187,-0.35139936208724976,0.23764103651046753,0.38924941420555115,3.725290298461914e-09
02,missing,neutral,0.030842375359497964,0.005527745088329539,0.01437685900600627,0.10279744025319815,0.020130049902945757,-0.2595231719315052,0.338502436876297,0.38924941420555115,2.1245796233415604e-09
03,mean,negative,0.5264788120985031,-0.01269919107289752,-0.05589594936463982,-1.0809594839811325,0.13196143228560686,-0.09579260367900133,0.0593765489757061,0.5172601938247681,1.5636032912880182e-08
03,missing,negative,0.1186515036970377,0.03166369255632162,0.027413016417995095,-0.2096887119114399,0.11246483959257603,-0.2661612704396248,0.3395319879055023,0.5172601938247681,6.752088665962219e-09
04,mean,negative,0.7145532444119453,-0.04419291717931628,-0.07958786911331117,-1.6316057443618774,0.3586697652935982,0.26600972190499306,0.06299489736557007,0.6537673473358154,8.149072527885437e-09
04,missing,negative,0.37654800713062286,-0.035020990297198296,-0.02729165367782116,-0.9227997213602066,0.33242809772491455,0.21121756359934807,0.3395319879055023,0.6537673473358154,3.725290298461914e-09
05,mean,positive,-0.050768615677952766,-0.09719285741448402,0.056444257497787476,-0.05023434804752469,-0.18364758230745792,-0.021178516326472163,0.7090914845466614,0.6175742745399475,5.587935447692871e-09
05,missing,positive,0.1969239041209221,-0.03565431712195277,0.1343390867114067,0.37362542748451233,-0.14380317367613316,0.08481938461773098,0.32196560502052307,0.6175742745399475,4.190951585769653e-09
06,mean,positive,0.13537810556590557,-0.11288189329206944,-0.19235742092132568,0.1784990131855011,0.06178351864218712,-0.28036915697157383,0.7392311692237854,0.5693699717521667,1.1175870895385742e-08
06,missing,positive,0.3419107645750046,-0.008707113622222096,-0.08579927869141102,0.4648553878068924,0.2214641347527504,-0.045325211714953184,0.32196560502052307,0.5693699717521667,5.529727786779404e-09
07,mean,positive,0.11357709392905235,-0.057596247643232346,-0.04078350588679314,0.251483466476202,-0.17355869710445404,-0.13450567051768303,0.7241344451904297,0.7393317818641663,3.725290298461914e-09
07,missing,positive,0.3515169285237789,0.02094149636104703,0.044907764066010714,0.5988278537988663,-0.00828732829540968,0.02098002005368471,0.32196560502052307,0.7393317818641663,1.210719347000122e-08
08,mean,positive,0.19295566529035568,-0.15600943379104137,-0.17672371678054333,0.25969722867012024,-0.31170833855867386,-0.2537940517067909,0.6853691935539246,0.5455917119979858,3.725290298461914e-09
08,missing,positive,0.3633483201265335,-0.058584874495863914,-0.08113732933998108,0.5348159000277519,-0.1511688455939293,-0.16476546972990036,0.32196560502052307,0.5455917119979858,9.313225746154785e-09
