sample_id,model_polarity,model_strength,human_polarity,human_strength_comment,evidence_text_matches,evidence_audio_time_matches,evidence_visual_frame_matches,review_note
01,neutral,0.2296137809753418,,,,,,
02,neutral,-0.036710649728775024,,,,,,
03,negative,-0.26350006461143494,,,,,,
04,negative,-0.2792690694332123,,,,,,
05,positive,0.41452670097351074,,,,,,
06,positive,0.740879476070404,,,,,,
07,positive,0.7114055156707764,,,,,,
08,positive,0.31876668334007263,,,,,,
09,negative,-1.8892005681991577,,,,,,
10,negative,-1.595476508140564,,,,,,
11,negative,-0.8819450736045837,,,,,,
12,negative,-1.0288710594177246,,,,,,
13,neutral,0.0785365179181099,,,,,,
14,neutral,0.08830275386571884,,,,,,
15,positive,1.043225884437561,,,,,,
16,negative,-2.1834659576416016,,,,,,
17,positive,1.4026432037353516,,,,,,
18,negative,-0.4735114276409149,,,,,,
19,negative,0.13332484662532806,,,,,,
20,positive,0.9686102867126465,,,,,,
